Facility Name_x	County Name_x	City_x	State_x	ICU Beds	Total Beds	Total Employees	Hospital Type	Street Address 1	Mortality national comparison	Phone Number	Urban or Rural Designation	TIN		Facility Name	Number to Call (NTC)	Donation Phone Number	Donation Email	Type (donation)	Notes
Swedish First Hill Campus	King County, WA	Seattle	WA	54	668	4365	Acute Care Hospitals	747 Broadway	Same as the national average	(206) 386-6000	Urban	910433740	16	Swedish First Hill Campus	(206) 386-6000		covidDonations@swedish.org	donation	
Swedish Issaquah Campus	King County, WA	Issaquah	WA	18	126	654	Acute Care Hospitals	751 Ne Blakely Dr	Same as the national average	(425) 313-4000	Urban	910433740	17	Swedish Issaquah Campus	(425) 313-4000		CovidDonations@swedish.org	donation	
Seattle Children's Hospital & Regional Medical Center	King County, WA	Seattle	WA	91	361	5478	Childrens	4800 Sand Point Way Ne	Not Available	(206) 987-2000	Urban	910564748	18	Seattle Children's Hospital & Regional Medical Center	(206) 987-2000	206-987-2153			sent to voicemail after being redirected. left a message. found phone # on website
CHI Franciscan Health - St. Francis Hospital	King County, WA	Federal Way	WA	14	124	842	Acute Care Hospitals	34515 9th Ave S	Below the national average	(253) 944-8100	Urban	911267921	19	CHI Franciscan Health - St. Francis Hospital	(253) 944-8100	2539448100		donation	ask for donation info, human operator forwards to automated message to leave a message for donations/dropoff information
Swedish Cherry Hill Campus	King County, WA	Seattle	WA	56	211	1345	Acute Care Hospitals	500 17th Ave	Same as the national average	(206) 320-2000	Urban	910373400	20	Swedish Cherry Hill Campus	(206) 320-2000		CovidDonations@swedish.org	donation	
Santa Clara Valley Medical Center	Santa Clara County, CA	San Jose	CA	35	974	5285	Acute Care Hospitals	751 S. Bascom Avenue	Same as the national average	(408) 885-5000	Urban	946000533	21	Santa Clara Valley Medical Center	(408) 885-5000	4088855299	vmcfoundation@hhs.sccgov.org.	donation	
Santa Clara Medical Center	Santa Clara County, CA	Santa Clara	CA	64	327	1943	Acute Care Hospitals	700 Lawrence Expy	Not Available	(408) 236-6400	Urban	941105628	22	Santa Clara Medical Center	(408) 236-6400	4088510660		donation	
San Jose Medical Center Main Campus	Santa Clara County, CA	San Jose	CA	24	235	997	Acute Care Hospitals	250 Hospital Pkwy	Same as the national average	(408) 972-7000	Urban	941105628	23	San Jose Medical Center Main Campus	(408) 972-7000				victoria.l.lavelle@kp.org, email what you need and she will forward it out
Stanford Hospital	Santa Clara County, CA	Stanford	CA	59	477	10339	Acute Care Hospitals	300 Pasteur Drive	Above the national average	(650) 723-5708	Urban	770465765	24	Stanford Hospital	(650) 723-5708		covid19supplies@stanfordhealthcare.org	donation	
O'Connor Hospital	Santa Clara County, CA	San Jose	CA	22	348	957	Acute Care Hospitals	2105 Forest Ave	Same as the national average	(408) 947-2500	Urban	912154436	25	O'Connor Hospital	(408) 947-2500	4089472920		donation	
Providence Regional Medical Center Everett Colby Campus	Snohomish County, WA	Everett	WA	49	514	3128	Acute Care Hospitals	1321 Colby Ave	Below the national average	(425) 261-2000	Urban	352346161	26	Providence Regional Medical Center Everett Colby Campus	(425) 261-2000		jaran.friday@providence.org OR peter.smeltz@providence.org	donation	two email addresses
Cedars-Sinai Medical Center	Los Angeles County, CA	Los Angeles	CA	48	880	11766	Acute Care Hospitals	8700 Beverly Blvd	Above the national average	(310) 423-5000	Rural	951644600	27	Cedars-Sinai Medical Center	(310) 423-5000				gave a message that was recieved and sent
PIH Health Hospital - Whittier	Los Angeles County, CA	Whittier	CA	24	384	2439	Acute Care Hospitals	12401 Washington Blvd	Above the national average	(526) 698-0811	Urban	951934652	28	PIH Health Hospital - Whittier	(562) 698-0811				call number back with extension 12769
St. Mary Medical Center Long Beach	Los Angeles County, CA	Long Beach	CA	30	284	1199	Acute Care Hospitals	1050 Linden Ave	Same as the national average	(562) 491-9000	Urban	941196203	29	St. Mary Medical Center Long Beach	(562) 491-9287				5624919287 elaine chambers (on lunch break rn)
City of Hope Comprehensive Cancer Center	Los Angeles County, CA	Duarte	CA	18	217	3674	NA	1500 E Duarte Rd	NA	NA	Urban	951683875	30	City of Hope Comprehensive Cancer Center	(800) 826-4673	8666834673	giving@coh.org	donation	
California Hospital Medical Center	Los Angeles County, CA	Los Angeles	CA	28	318	1699	Acute Care Hospitals	1401 S Grand Ave	Same as the national average	(213) 748-2411	Rural	941196203	31	California Hospital Medical Center	(213) 748-2411		kelley.ford@dignityhealth.org	donation	
Los Angeles Medical Center	Los Angeles County, CA	Los Angeles	CA	129	528	2518	Acute Care Hospitals	4867 Sunset Blvd	Not Available	(323) 783-4011	Rural	941105628	32	Los Angeles Medical Center	(323) 783-4011	3237837606	KPCOVID-19Donations@kp.org	donation	
UCLA Medical Center, Santa Monica	Los Angeles County, CA	Santa Monica	CA	22	281	2034	Acute Care Hospitals	1250 16th St	Above the national average	(310) 319-4000	Urban	954541687	33	UCLA Medical Center, Santa Monica	(310) 319-4000		bmwinding@mednet.ucla.edu	donation	email bmwinding@mednet.ucla.edu
Northridge Hospital Medical Center	Los Angeles County, CA	Northridge	CA	46	394	907	Acute Care Hospitals	18300 Roscoe Blvd	Above the national average	(818) 885-8500	Rural	941196203	34	Northridge Hospital Medical Center	(818) 885-8500				left a message
Keck Hospital of USC	Los Angeles County, CA	Los Angeles	CA	46	330	2712	Acute Care Hospitals	1500 San Pablo Street	Same as the national average	(323) 442-8656	Rural	951642394	35	Keck Hospital of USC	(323) 442-8656	3234429686		donation	
Downey Medical Center	Los Angeles County, CA	Downey	CA	87	352	1718	Acute Care Hospitals	9333 Imperial Hwy	Not Available	(562) 461-6007	Rural	941105628	36	Downey Medical Center	(562) 461-6007				left a message with Carmen Gonzalez
Woodland Hills Medical Center	Los Angeles County, CA	Woodland Hills	CA	22	252	891	Acute Care Hospitals	5601 De Soto Ave	Not Available	(818) 719-3800	Urban	941105628	37	Woodland Hills Medical Center	(818) 719-3800				wrong number
USC Norris Comprehensive Cancer Center	Los Angeles County, CA	Los Angeles	CA	7	60	450	NA	1441 Eastlake Ave	NA	NA	Urban	951642394	38	USC Norris Comprehensive Cancer Center	(323) 865-3000	3238650700		business affairs	
Panorama City Medical Center	Los Angeles County, CA	Panorama City	CA	48	218	908	Acute Care Hospitals	13652 Cantara St	Not Available	(818) 375-3333	Rural	941105628	39	Panorama City Medical Center	(818) 375-3333				wrong number
Lakewood Regional Medical Center	Los Angeles County, CA	Lakewood	CA	32	172	686	Acute Care Hospitals	3700 South St	Same as the national average	(562) 602-6751	Urban	752919841	40	Lakewood Regional Medical Center	(562) 602-6751		matthew.sandoval@tenethealth.com	donation	
Emanate Health Inter-Community Hospital	Los Angeles County, CA	Covina	CA	20	516	1988	Acute Care Hospitals	210 W San Bernardino Rd	Same as the national average	(626) 814-2468	Urban	956006469	41	Emanate Health Inter-Community Hospital	(626) 814-2468	6268142421	Foundation@EmanateHealth.org	donation	
Huntington Hospital	Los Angeles County, CA	Pasadena	CA	30	568	3087	Acute Care Hospitals	100 W California Blvd	Above the national average	(626) 397-5000	Rural	951644036	42	Huntington Hospital	(626) 397-5000	6263973241		donation/gift	
College Medical Center	Los Angeles County, CA	Long Beach	CA	8	221	680	Acute Care Hospitals	2776 Pacific Ave	Same as the national average	(562) 595-1911	Urban	462760935	43	College Medical Center	(562) 595-1911				NTC not in service
South Bay Medical Center	Los Angeles County, CA	Harbor City	CA	20	257	1112	Acute Care Hospitals	25825 South Vermont Ave	Not Available	(310) 325-5111	Urban	941105628	44	South Bay Medical Center	(310) 325-5111	4242517765			janee oliver, left a message
Los Angeles County and University of Southern California Medical Center	Los Angeles County, CA	Los Angeles	CA	168	670	7505	Acute Care Hospitals	1200 N State St	Same as the national average	(323) 226-2800	Urban	956000927	45	Los Angeles County and University of Southern California Medical Center	(323) 226-2800				NTC not in service
PIH Health Hospital - Downey	Los Angeles County, CA	Downey	CA	18	199	893	Acute Care Hospitals	11500 Brookshire Ave	Same as the national average	(526) 904-5000	Urban	951903935	46	PIH Health Hospital - Downey	(526) 904-5000				"call cannot be completed"
Harbor-UCLA Medical Center	Los Angeles County, CA	Torrance	CA	73	428	4326	Acute Care Hospitals	1000 W Carson St	Same as the national average	(310) 222-2101	Urban	956000927	47	Harbor-UCLA Medical Center	(310) 222-2101				NTC not in service
Miller Children's and Women's Hospital Long Beach	Los Angeles County, CA	Long Beach	CA	30	357	1676	Childrens	2801 Atlantic Ave	Not Available	(562) 933-8001	Urban	953527031	48	Miller Children's and Women's Hospital Long Beach	(562) 933-8001	562933GIVE		donation	
Good Samaritan Hospital	Los Angeles County, CA	Los Angeles	CA	39	310	1268	Acute Care Hospitals	1225 Wilshire Blvd	Above the national average	(213) 977-2121	Urban	951656366	49	Good Samaritan Hospital	(213) 977-2121		mmuph@goodsam.org	donation	
West Los Angeles Medical Center	Los Angeles County, CA	Los Angeles	CA	43	265	983	Acute Care Hospitals	6041 Cadillac Ave	Not Available	(213) 857-2201	Rural	941105628	50	West Los Angeles Medical Center	(213) 857-2201				"call cannot be completed"
Pomona Valley Hospital Medical Center	Los Angeles County, CA	Pomona	CA	40	412	2784	Acute Care Hospitals	1798 N. Garey Ave.	Same as the national average	(909) 865-9500	Urban	951115230	51	Pomona Valley Hospital Medical Center	(909) 865-9500		leith.cornell@pvhmc.org	donation	
Children's Hospital Los Angeles	Los Angeles County, CA	Los Angeles	CA	48	379	5594	Childrens	4650 W Sunset Blvd	Not Available	(323) 669-2164	Urban	951690977	52	Children's Hospital Los Angeles	(323) 669-2164	3233612308	foundation@chla.usc.edu	donation	
Ronald Reagan UCLA Medical Center	Los Angeles County, CA	Los Angeles	CA	120	445	6888	Acute Care Hospitals	757 Westwood Plz	Above the national average	(310) 825-6301	Urban	956006143	53	Ronald Reagan UCLA Medical Center	(310) 825-6301	3107943434		donation	
LA Downtown Medical Center Downtown Campus	Los Angeles County, CA	Los Angeles	CA	12	234	615	Acute Care Hospitals	1711 W Temple St	Above the national average	(213) 989-6123	Urban	263366535	54	LA Downtown Medical Center Downtown Campus	(213) 989-6123				number not working
Long Beach Medical Center	Los Angeles County, CA	Long Beach	CA	60	453	2446	Acute Care Hospitals	2801 Atlantic Ave	Above the national average	(562) 933-2000	Urban	953527031	55	Long Beach Medical Center	(562) 933-2000	5629334483	MMCF@memorialcare.org	donation	
Rancho Los Amigos National Rehabilitation Center	Los Angeles County, CA	Downey	CA	12	210	1151	Acute Care Hospitals	7601 Imperial Hwy	Not Available	(562) 401-7022	Urban	956000927	56	Rancho Los Amigos National Rehabilitation Center	(562) 401-7022		bovando@dhs.lacounty.gov	donation	
Adventist Health White Memorial	Los Angeles County, CA	Los Angeles	CA	34	353	1476	Acute Care Hospitals	1720 E Cesar E Chavez Ave	Above the national average	(323) 268-5000	Rural	952282647	57	Adventist Health White Memorial	(323) 268-5000	3232605739		donation	
Olive View-UCLA Medical Center	Los Angeles County, CA	Sylmar	CA	18	304	2497	Acute Care Hospitals	14445 Olive View Dr	Same as the national average	(818) 364-1555	Urban	956000927	58	Olive View-UCLA Medical Center	(818) 364-1555	7472108513	EMorales2@dhs.lacounty.gov	donation	Ernesto Morales
Desert Regional Medical Center	Riverside County, CA	Palm Springs	CA	31	369	1670	Acute Care Hospitals	1150 N Indian Canyon Dr	Below the national average	(760) 323-6511	Urban	752694137	59	Desert Regional Medical Center	(760) 323-6511	7604139329		donation	
Riverside Medical Center	Riverside County, CA	Riverside	CA	41	226	1176	Acute Care Hospitals	10800 Magnolia Ave	Not Available	(951) 353-2000	Rural	941105628	60	Riverside Medical Center	(951) 353-2000	9516024124		donation	Tara Pratt
Riverside University Medical Center	Riverside County, CA	Moreno Valley	CA	45	439	3053	Acute Care Hospitals	26520 Cactus Ave	Same as the national average	(951) 486-4000	Urban	956000930	61	Riverside University Medical Center	(951) 486-4000	9514867620	Foundation@RUHealth.org	donation	
Eisenhower Medical Center	Riverside County, CA	Rancho Mirage	CA	34	368	4056	Acute Care Hospitals	39000 Bob Hope Drive	Same as the national average	(760) 340-3911	Rural	956130458	62	Eisenhower Medical Center	(760) 340-3911	7607731253	kardelian@eisenhowerhealth.org	donation	
Hemet Global Medical Center	Riverside County, CA	Hemet	CA	18	417	688	Acute Care Hospitals	1117 E Devonshire Ave	Below the national average	(951) 652-2811	Urban	270636387	63	Hemet Global Medical Center	(951) 652-2811	9515378321	laura.scully@bhh.ms	donation	Laura Scully, Respiratory Director
Riverside Community Hospital	Riverside County, CA	Riverside	CA	69	478	1919	Acute Care Hospitals	4445 Magnolia Ave	Same as the national average	(951) 788-3000	Urban	330751869	64	Riverside Community Hospital	(951) 788-3000		cherie.russell@hcahealthcare.com	donation	
Methodist Hospital of Sacramento	Sacramento County, CA	Sacramento	CA	20	329	852	Acute Care Hospitals	7500 Hospital Dr	Same as the national average	(916) 423-6010	Urban	941196203	65	Methodist Hospital of Sacramento	(916) 423-6010	9168512700	mercyfoundationsac@dignityhealth.org	donation	
Stony Brook University Hospital	Suffolk County, NY	Stony Brook	NY	80	695	7629	Acute Care Hospitals	Nicolls Rd	Above the national average	(631) 444-4000	Urban	113243405	66	Stony Brook University Hospital	(631) 444-4000	6316831000		donation	Rodina Taylor
UC Davis Medical Center	Sacramento County, CA	Sacramento	CA	44	617	8362	Acute Care Hospitals	2315 Stockton Blvd	Above the national average	(916) 734-2011	Urban	946036494	67	UC Davis Medical Center	(916) 734-2011	9163209248	aphazarian@ucdavis.edu	Donation	Tony Hazarian
Long Island Jewish Valley Stream	Nassau County, NY	Valley Stream	NY	8	337	1109	NA	900 Franklin Ave	NA	NA	Urban	112296824	68	Long Island Jewish Valley Stream	(516) 256-6000				On hold forever
Stony Brook Southampton Hospital	Suffolk County, NY	Southampton	NY	8	94	912	NA	240 Meeting House Lane	NA	NA	Urban	111667765	69	Stony Brook Southampton Hospital	(631) 726-8200	6317268700 ext2		Donation	Stephen Bernstein
Mercy San Juan Medical Center	Sacramento County, CA	Carmichael	CA	56	370	1892	Acute Care Hospitals	6501 Coyle Ave	Below the national average	(916) 537-5000	Urban	941196203	70	Mercy San Juan Medical Center	(916) 537-5000		supplies-dignityhealthsac@dignityhealth.org	Donation	
Good Samaritan Hospital Medical Center	Suffolk County, NY	West Islip	NY	48	437	3152	Acute Care Hospitals	1000 Montauk Hwy	Same as the national average	(631) 376-3000	Urban	111888924	71	Good Samaritan Hospital Medical Center	(631) 376-3000				Took my name and number 5109262613 and said they would "put the organization on the list"
John T. Mather Memorial Hospital	Suffolk County, NY	Port Jefferson	NY	12	248	1931	Acute Care Hospitals	75 N Country Rd	Above the national average	(631) 473-1320	Urban	111639818	72	John T. Mather Memorial Hospital	(631) 473-1320				Took my name and number will call back?
Long Island Jewish Medical Center	Nassau County, NY	New Hyde Park	NY	90	1549	14275	Acute Care Hospitals	270-05 76 Ave	Above the national average	(718) 470-7000	Urban	112241326	73	Long Island Jewish Medical Center	(718) 470-7000		lbrighton@northwell.edu; cjohnson@northwell.edu	Donations	Lisa Brighton; Chris johnson
Mount Sinai South Nassau	Nassau County, NY	Oceanside	NY	10	407	3029	Acute Care Hospitals	1 Healthy Way	Same as the national average	(516) 632-3000	Urban	111352310	74	Mount Sinai South Nassau	(516) 632-3000				Their phone options werent working
Mercy Medical Center	Nassau County, NY	Rockville Centre	NY	18	375	1242	Acute Care Hospitals	1000 N Village Ave	Same as the national average	(516) 705-2525	Urban	111635088	75	Mercy Medical Center	(516) 705-2525	5167052919		Donations	Dominic sonona; also gonna call me back 9am tmr
Saint Charles Hospital	Suffolk County, NY	Port Jefferson	NY	16	243	1242	Acute Care Hospitals	200 Belle Terre Road	Same as the national average	(631) 474-6000	Urban	111871039	76	Saint Charles Hospital	(631) 474-6000				Sent to voice mail, but not set up 
PeaceHealth Southwest Medical Center	Clark County, WA	Vancouver	WA	80	450	2177	Acute Care Hospitals	200 Ne Mother Joseph Pl Ste 400	Below the national average	(360) 256-2000	Urban	916068143	77	PeaceHealth Southwest Medical Center	(360) 256-2000		COVID-19-SWsupplies@peacehealth.org	Donations	
Plainview Hospital	Nassau County, NY	Plainview	NY	19	156	1192	Acute Care Hospitals	888 Old Country Rd	Same as the national average	(516) 719-3000	Urban	113241243	78	Plainview Hospital	(516) 719-3000				Left a message
South Sacramento Medical Center	Sacramento County, CA	Sacramento	CA	30	209	1242	Acute Care Hospitals	6600 Bruceville Rd	Same as the national average	(916) 688-2000	Urban	941105628	79	South Sacramento Medical Center	(916) 688-2000				Voicemail not set up
North Shore University Hospital	Nassau County, NY	Manhasset	NY	47	1040	11055	Acute Care Hospitals	300 Community Drive	Above the national average	(516) 562-0100	Urban	111562701	80	North Shore University Hospital	(516) 562-0100		sjohn2@northwell.edu	Donations	
Peconic Bay Medical Center	Suffolk County, NY	Riverhead	NY	10	184	946	Acute Care Hospitals	1300 Roanoke Ave	Same as the national average	(631) 548-6000	Urban	111661359	81	Peconic Bay Medical Center	(631) 548-6000		aborra2@northwell.edu	Donations	Andrea Borra
Long Island Community Hospital	Suffolk County, NY	Patchogue	NY	10	235	1619	Acute Care Hospitals	101 Hospital Rd	Above the national average	(631) 654-7100	Urban	111704595	82	Long Island Community Hospital	(631) 654-7100		cvillegas@licommunityhospital.org	Donations	
St. Joseph Hospital	Nassau County, NY	Bethpage	NY	8	203	677	Acute Care Hospitals	4295 Hempstead Tpke	Same as the national average	(516) 579-6000	Urban	113438973	83	St. Joseph Hospital	(516) 579-6000	5167052288	kathleen.kennedy@chsli.org	Donations	Kathleen Kennedy, also said they really need masks and gowns desperately
Sutter Medical Center	Sacramento County, CA	Sacramento	CA	80	523	3619	Acute Care Hospitals	2825 Capitol Avenue	Same as the national average	(916) 733-8999	Urban	941156621	84	Sutter Medical Center	(916) 733-8999				
Nassau University Medical Center	Nassau County, NY	East Meadow	NY	39	530	2528	Acute Care Hospitals	2201 Hempstead Tpke	Same as the national average	(516) 572-0123	Urban	113465690	85	Nassau University Medical Center	(516) 572-0123		mtlotkin@numc.edu	Donations	
Glen Cove Hospital	Nassau County, NY	Glen Cove	NY	10	119	710	Acute Care Hospitals	101 Saint Andrews Ln	Same as the national average	(516) 674-7300	Urban	111633487	86	Glen Cove Hospital	(516) 674-7300	(516)? 6741809		Donations	Susan, the number is the extension to her office
NYU Winthrop Hospital	Nassau County, NY	Mineola	NY	36	511	7727	Acute Care Hospitals	259 1st Street	Above the national average	(516) 663-0333	Urban	111633486	87	NYU Winthrop Hospital	(516) 663-0333				On hold forever
Huntington Hospital	Suffolk County, NY	Huntington	NY	26	280	2041	Acute Care Hospitals	270 Park Ave	Above the national average	(631) 351-2000	Urban	111630914	88	Huntington Hospital	(631) 351-2000				Gave them name&number will call back
Sacramento Medical Center	Sacramento County, CA	Sacramento	CA	34	287	1137	Acute Care Hospitals	2025 Morse Ave	Same as the national average	(916) 973-5000	Urban	941105628	89	Sacramento Medical Center	(916) 973-5000		kpsacramento@kp.org	Donations	
Southside Hospital	Suffolk County, NY	Bay Shore	NY	36	278	2931	Acute Care Hospitals	301 E Main St	Same as the national average	(631) 968-3000	Urban	111667761	90	Southside Hospital	(631) 968-3000				Left message w number
Saint Francis Hospital The Heart Center	Nassau County, NY	Roslyn	NY	37	364	2906	Acute Care Hospitals	100 Port Washington Blvd	Above the national average	(516) 562-6000	Urban	112050523	91	Saint Francis Hospital The Heart Center	(516) 562-6000				Left message w number
Trios Women's and Children's Hospital	Benton County, WA	Kennewick	WA	14	111	335	Acute Care Hospitals	3810 Plaza Way	Same as the national average	(509) 586-6111	Urban	823962056	92	Trios Women's and Children's Hospital	(509) 586-6111	5095462381 OR 5092215853	mkellogg@lourdesonline.org	Donations	Materials manager: Michelle Kellogg
Kadlec Regional Medical Center	Benton County, WA	Richland	WA	30	270	2969	Acute Care Hospitals	888 Swift Blvd	Same as the national average	(509) 946-4611	Urban	910655392	93	Kadlec Regional Medical Center	(509) 946-4611	5099422661		Donations	Rene
Manteca Medical Center	San Joaquin County, CA	Manteca	CA	26	251	1032	Acute Care Hospitals	1777 W Yosemite Ave	Not Available	(209) 825-3700	Urban	941105628	94	Manteca Medical Center	(209) 825-3700		BuytoPay@kp.org	Donations	
San Joaquin General Hospital	San Joaquin County, CA	French Camp	CA	16	196	1771	Acute Care Hospitals	500 W. Hospital Rd.	Same as the national average	(209) 468-6000	Urban	946000531	95	San Joaquin General Hospital	(209) 468-6000				Said they dont have donation contact info
MultiCare Good Samaritan Hospital	Pierce County, WA	Puyallup	WA	20	321	1592	Acute Care Hospitals	407 14th Ave Se	Same as the national average	(253) 697-2102	Urban	911352172	96	MultiCare Good Samaritan Hospital	(253) 697-2102				Phone number broken; must have 7 digit ext
Multicare Tacoma General Hospital	Pierce County, WA	Tacoma	WA	48	380	2835	Acute Care Hospitals	315 Martin Luther King Jr Way	Same as the national average	(253) 403-1000	Urban	911352172	97	Multicare Tacoma General Hospital	(253) 403-1000				Left message w number
San Leandro Medical Center	Alameda County, CA	San Leandro	CA	20	206	1035	Acute Care Hospitals	2500 Merced St	Not Available	(510) 454-1000	Urban	941105628	98	San Leandro Medical Center	(510) 454-1000				Left message w number
Kaiser Permanente Roseville Medical Center	Placer County, CA	Roseville	CA	78	340	1829	Acute Care Hospitals	1600 Eureka Road	Not Available	(916) 784-4000	Urban	941105628	99	Kaiser Permanente Roseville Medical Center	(916) 784-4000		kpcovid-19donation@kp.org	Donations	
Antioch Medical Center	Contra Costa County, CA	Antioch	CA	16	138	752	Acute Care Hospitals	4501 Sand Creek Road	Not Available	(925) 813-6500	Urban	941105628	100	Antioch Medical Center	(925) 813-6500				After business hours
Redwood City Medical Center	San Mateo County, CA	Redwood City	CA	20	149	732	Acute Care Hospitals	1100 Veterans Blvd	Not Available	(650) 299-2000	Urban	941105628	101	Redwood City Medical Center	(650) 299-2000	6502992261		Donations	David Collin
Sutter Davis Hospital	Yolo County, CA	Davis	CA	6	48	387	Acute Care Hospitals	2000 Sutter Pl	Same as the national average	(530) 756-6440	Urban	941156621	102	Sutter Davis Hospital	(530) 756-6440	5307597477		Donations	
Concord Medical Center	Contra Costa County, CA	Concord	CA	36	244	1226	Acute Care Hospitals	2540 East St	Above the national average	(925) 682-8200	Urban	680396600	103	Concord Medical Center	(925) 682-8200		enterprisecommandcenter@johnmuirhealth.com	Donations	
Santa Rosa Hospital	Sonoma County, CA	Santa Rosa	CA	31	173	856	Acute Care Hospitals	401 Bicentennial Way	Not Available	(707) 571-4000	Urban	941105628	104	Santa Rosa Hospital	(707) 571-4000				left a message
UCSF Benioff Children's Hospital Oakland	Alameda County, CA	Oakland	CA	23	190	2286	Childrens	747 52nd St	Not Available	(510) 428-3000	Urban	940382330	105	UCSF Benioff Children's Hospital Oakland	(510) 428-3000		cldonations@ucsf.edu	donation	email taken from online website (directed by operated)
Community Memorial Hospital	Ventura County, CA	Ventura	CA	21	201	1748	Acute Care Hospitals	2721 E Main St	Same as the national average	(805) 652-5011	Urban	951683892	106	Community Memorial Hospital	(805) 652-5011				no contact email or phone #, only dropoff
Walnut Creek Medical Center	Contra Costa County, CA	Walnut Creek	CA	55	554	2022	Acute Care Hospitals	1601 Ygnacio Valley Rd	Above the national average	(925) 939-3000	Urban	941461843	107	Walnut Creek Medical Center	(925) 939-3000		jmhdonations@johnmuirhealth.com	donations	
Ventura County Medical Center	Ventura County, CA	Ventura	CA	52	272	1286	Acute Care Hospitals	300 Hillmont Ave	Same as the national average	(805) 652-6075	Urban	956000944	108	Ventura County Medical Center	(805) 652-6075		robbert.tumpane@ventura.org	not sure. contact this email for donations	
Contra Costa Regional Medical Center	Contra Costa County, CA	Martinez	CA	8	147	2132	Acute Care Hospitals	2500 Alhambra Ave	Same as the national average	(925) 370-5000	Urban	946000509	109	Contra Costa Regional Medical Center	(925) 370-5000	9253705081	commandcenter@safetyhealth.org		
