,state,public_health,phone_number
79,AK,Fort Yukon Public Health Center,19076622460
80,AK,Galena Public Health Center - Frontier Region,19074521776
81,AK,Haines Public Health Center,19077663300
82,AK,Homer Public Health Center,19072358857
83,AK,Juneau Public Health Center,19074653353
84,AK,Kenai Public Health Center,19073353400
85,AK,Ketchikan Public Health Center,19072254350
86,AK,Kodiak Public Health Center,19074863319
87,AK,Matanuska-Susitna (Mat-Su) Public Health Center,19073526600
88,AK,North Slope Borough Health and Social Services Agency,19078520366
89,AK,Petersburg Public Health Center,19077724611
90,AK,Seward Public Health Center,19072245567
91,AK,Tok Public Health Center,19078834101
92,AK,Valdez Public Health Center,19078354612
93,AK,Wrangell Public Health Center,19078743615
94,AZ,Apache County Health Department,19283377525
95,AZ,Cochise Health and Social Services,15204329400
96,AZ,Coconino County Public Health Services District,19286797272
97,AZ,Gila County Health Department,19284253189
98,AZ,Graham County Health Department,19284280110
99,AZ,Greenlee County Health Department,19288652601
100,AZ,La Paz County Health Department,19286691100
101,AZ,Maricopa County Department of Public Health,16025066900
102,AZ,Mohave County Department of Public Health,192875307744313
103,AZ,Navajo County Public Health Services District,19285244750
104,AZ,Pima County Health Department,15207247770
105,AZ,Pinal County Health Department,18669600633
106,AZ,Santa Cruz County Health Department,15203757900
107,AZ,United Community Health Center,15204075600
108,AZ,Yavapai County Community Health Services,19287713122
109,AZ,Yuma County Public Health Services District,192831745501729
110,AR,Arkansas County Health Unit - Stuttgart,18709462934
111,AR,Ashley County Health Unit - Crossett,18703642115
112,AR,Baxter County Health Unit,18704253072
113,AR,Benton County Health Unit - Bentonville,14799861300
114,AR,Boone County Health Department,18707435244267
115,AR,Bradley County Health Unit,18702268440
116,AR,Calhoun County Health Unit,18707982808
117,AR,Carroll County Health Unit,18704232923
118,AR,Chicot County Health Unit - Lake Village,18702652236
119,AR,Clark County Health Unit,18702464471
120,AR,Clay County Health Unit - Piggott,18705983390
121,AR,Cleburne County Health Unit,15013627581
122,AR,Cleveland County Health Unit,18703256311
123,AR,Columbia County Health Unit,18702353798
124,AR,Conway County Health Unit,15013544652
125,AR,Craighead County Health Unit,18709334585
126,AR,Crawford County Health Unit,14794746391
127,AR,Crittenden County Health Unit - West Memphis,18707354334
128,AR,Cross County Health Unit,18702382101
129,AR,Dallas County Health Unit,18703527197
130,AR,Desha County Health Unit - McGehee,18702223910
131,AR,Drew County Health Unit,18703676234
132,AR,Faulkner County Health Unit,15014504941
133,AR,Franklin County Health Unit,14796672555
134,AR,Fulton County Health Unit,18708953300
135,AR,Garland County Health Unit,15016243394
136,AR,Grant County Health Unit,18709423157
137,AR,Greene County Health Unit,18702367782
138,AR,Hempstead County Health Unit,18707772191
139,AR,Hot Spring County Health Unit,15013326972
140,AR,Howard County Health Unit,18708452208
141,AR,Independence County Health Unit,18707938847
142,AR,Izard County Health Unit,18703687790
143,AR,Jackson County Health Unit,18705238968
144,AR,Jefferson County Health Unit,18705352142
145,AR,Johnson County Health Unit,14797542949
146,AR,Lafayette County Health Unit,18709215744
147,AR,Lawrence County Health Unit,18708863201
148,AR,Lee County Health Unit,18702952400
149,AR,Lincoln County Health Unit,18706285121
150,AR,Little River County Health Unit,18708983831
151,AR,Logan County Health Unit - Paris,14799636126
152,AR,Lonoke County Health Unit - Lonoke,15016762268
153,AR,Madison County Health Unit,14797382612
154,AR,Marion County Health Unit,18704494259
155,AR,Miller County Health Unit,18707732108
156,AR,Mississippi County Health Unit - Blytheville,18707637064
157,AR,Monroe County Health Unit,18707341461
158,AR,Montgomery County Health Unit,18708672331
159,AR,Nevada County Health Unit,18708872004
160,AR,Newton County Health Unit,18704462216
161,AR,Ouachita County Health Unit,18708367395
162,AR,Perry County Health Unit,15018895156
163,AR,Phillips County Health Unit,18705729028
164,AR,Pike County Health Unit,18702853154
165,AR,Poinsett County Health Unit - Harrisburg,18705784480
166,AR,Polk County Health Unit,14793942707
167,AR,Pope County Health Unit,14799686004
168,AR,Prairie County Health Unit,18702564430
169,AR,Pulaski County  Health Unit - Jacksonville,15019827477
170,AR,Pulaski County Health Unit - North Little Rock,15017918551
171,AR,Pulaski County Health Unit - Southwest Little Rock,15015659311
172,AR,Pulaski Health Unit - Central Little Rock,15012803100
173,AR,Randolph County Health Unit,18708925239
174,AR,Saline County Health Unit,15013035650
175,AR,Scott County Health Unit,14796372165
176,AR,Searcy County Health Unit,18704483374
177,AR,Sebastian County Health Unit,147945286002123
178,AR,Sevier County Health Unit,18706422535
179,AR,Sharp County Health Unit,18709947364
180,AR,St. Francis County Health Unit - Forrest City,18706331340
181,AR,Stone County Health Unit,18702693308
182,AR,Union County Health Unit,18708635101
183,AR,Van Buren County Health Unit,15017452432
184,AR,Washington County Health Unit,14795218181
185,AR,White County Health Unit - Searcy,15012686102
186,AR,Woodruff County Health Unit,18703475061
187,AR,Yell County Health Unit - Dardanelle,14792293509
188,CA,Alameda County Public Health Department,15102678000
189,CA,Alpine County Health and Human Services,15306942135249
190,CA,"Amador County, Health and Human Services Agency",12092236407
191,CA,Berkeley City Public Health Department,15109815308
192,CA,Butte County Department of Public Health,15305524000
193,CA,Calaveras County Public Health Department,12097546460
194,CA,City of Pasadena Public Health Department,16267446046
195,CA,Colusa County Public health,15304580380
196,CA,Contra Costa Health Services,19259572679
197,CA,County of San Diego HHS and Public Health Services,16195424181
198,CA,Del Norte County Public Health,17074643191
199,CA,El Dorado County Public Health Division,15306216100
200,CA,Fresno County Department of Public Health,15596003200
201,CA,Glenn County Health Department,15309346588
202,CA,Humboldt County Department of Health and Human Services,17072682121
203,CA,Imperial County Health Department,14422651339
204,CA,Inyo County Health Department,17608737868
205,CA,Kern County Health Department,16618380301
206,CA,Kings County Health Department,15598522625
207,CA,Lake County Department of Health Services,17072631090
208,CA,Lassen County Department of Health and Social Services,15302518183
209,CA,Long Beach City Department of Health and Human Services,15625704016
210,CA,Los Angeles County Department of Public Health,18003396993
211,CA,Madera County Public Health,15596757893
212,CA,Marin County Health and Human Services,14154734163
213,CA,Mariposa County Health Department,12099663689
214,CA,Mendocino County Dept of Public Health,17074722777
215,CA,Merced County Department of Public Health,12093811203
216,CA,Modoc County Public Health Department,15302337052
217,CA,Mono County Health Department,15306942235249
218,CA,Monterey County Health Department,18317554585
219,CA,Napa County Health and Human Services Agency,17072534566
220,CA,Nevada County Public Health Department,15302651732
221,CA,Orange County Health Care Agency/Public Health,18005648448
222,CA,Placer County Public Health Division,15308897183
223,CA,Plumas County Public Health Agency,15302836342
224,CA,Riverside County Department of Health,19513585416
225,CA,Sacramento Department of Health Services,19168755881
226,CA,San Benito County Public Health Services,18316375367
227,CA,San Bernardino County Department of Public Health,19093876218
228,CA,San Diego Department of Environmental Health,18585056671
229,CA,San Francisco Department of Public Health,14155542830
230,CA,San Joaquin County Public  Health Services,12094683413
231,CA,San Luis Obispo County Health Department,18057815500
232,CA,San Mateo County Health Service Department,16505732519
233,CA,Santa Barbara County Public Health Department,18056515102
234,CA,Santa Clara County Department of Environment Health,14089183400
235,CA,Santa Clara County Public Health Department,14087923798
236,CA,Santa Cruz County Health Services Agency,18314544310
237,CA,Shasta County Public Health,15302255591
238,CA,Sierra County Health Department,15309936700
239,CA,Siskiyou County Public Health Department,15308412140
240,CA,Solano County Health and Social Services Dept. - Public Health,17077848600
241,CA,Sonoma County Department of Health Services,17075654418
242,CA,Stanislaus County Public Health Department,12095588804
243,CA,Sutter County Health Department,15308227215
244,CA,Tehama County Health Services Agency,153052784913175
245,CA,Trinity County Health and Human Services,15306431305
246,CA,Tulare County Health and Human Services,15596248481
247,CA,Tuolumne County Health Department,12095337401
248,CA,Ventura County Health Department,18059815101
249,CA,Vernon City Health Department,13235838811
250,CA,Yolo County Health Department,17075656680
251,CA,Yuba County Health Department,15307496385
252,CO,Alamosa County Public Health Department,17195896639
253,CO,Baca County Public Health,17195236621
254,CO,Bent County Public Health Agency,17194560517
255,CO,Boulder County Public Health,13034411100
256,CO,Broomfield Public Health and Environment,17208872200
257,CO,Chaffee County Public Health Department,17195394510
258,CO,Cheyenne County Public Health Agency,17197675616
259,CO,Clear Creek County Public and Environmental Health Department,13036792335
260,CO,Conejos County Public Health and Nursing Service,17192744307
261,CO,Costilla County Public Health Agency,17196723332
262,CO,Crowley County Public Health Agency,17193833040
263,CO,Custer County Public Health Agency,17197833369
264,CO,Delta County Health Department,19708742165
265,CO,Denver Department of Public Health and Environment,17208655365
266,CO,Denver Public Health Department,13036028723
267,CO,Dolores County Public Health Agency,19706772387
268,CO,Eagle County Public Health Agency,19703288840
269,CO,El Paso County Public Health,17195783199
270,CO,Elbert County Health and Human Services,13036213144
271,CO,Fremont County Department of Public Health and Environment,17192767450
272,CO,Garfield County Public Health Nursing Service,19706656373
273,CO,Gilpin County Public Health,13032715701
274,CO,Grand County Public Health,19707253288
275,CO,Gunnison County Department of Health and Human Services,19706417940
276,CO,Jackson County Public Health Agency,19707238572
277,CO,Jefferson County Public Health Department,13032715701
278,CO,Kiowa County Public Health Agency,17194385782
279,CO,Kit Carson County Health and Human Services,17193467158
280,CO,Lake County Public Health Department,17194862413
281,CO,Larimer County Department of Health and Environment,19704986711
282,CO,Las Animas-Huerfano Counties District Health Department,17198462213
283,CO,Lincoln County Department of Public Health,17197432526
284,CO,Mesa County Health Department,19702486974
285,CO,Montezuma County Health Department,19705653056
286,CO,Montrose County Public Health,19702525032
287,CO,Northeast Colorado Health Department,19705223741
288,CO,Otero County Department of Health,17193833040
289,CO,Ouray County Public Health Agency,19703254670
290,CO,Park County Public Health Agency,17198364161
291,CO,Pitkin County Public Health Agency,19709205070
292,CO,Prowers County Public Health and Environment,17193368721
293,CO,Pueblo Department of Public Health & Environment,17195834300
294,CO,Rio Blanco County Public Health Nursing Service,19708789526
295,CO,Rio Grande County Public Health Agency,17196573352
296,CO,Routt County Public Health Agency,19708705319
297,CO,Saguache County Public Health Nursing Service,17196552533
298,CO,San Juan Basin Health Department,19702475702
299,CO,San Juan County Public Health Agency,19703870242
300,CO,San Miguel County Department of Health and Environment,19703695422
301,CO,Silver Thread Public Health District,19709440321
302,CO,Summit County Public Health ,19706689161
303,CO,Teller County Public Health Department,17196876416
304,CO,Tri-County Health Department,13032209200
305,CO,Weld County Health Department of Public Health and Environment,19703046420
306,CT,Bethel Health Department,12037948539
307,CT,Bridgeport Department of Health & Social Services,12035767680
308,CT,Bristol-Burlington Health District,18605847682
309,CT,Brookfield Town Health Department,12037757315
310,CT,Central Connecticut Health District,18607212828
311,CT,Chatham Health District,18603650884
312,CT,Chesprocott Health District,12032722761
313,CT,Chester Health Department,18605260013206
314,CT,City of Stamford Department of Health,12039774698
315,CT,Connecticut River Area Health District,18606613300
316,CT,Cromwell Health Department,18606323426
317,CT,Danbury Health and Human Services,12037974625
318,CT,Darien Health Department,12036567320
319,CT,Durham Health Department,18603498253
320,CT,East Hartford Department of Health & Social Services,18602917324
321,CT,East Shore District Department Department of Health,12034814233
322,CT,Eastern Highlands Health District,18604293325
323,CT,Easton Health Department,12032686291
324,CT,Essex Health Department,18607674340
325,CT,Fairfield Health Department,12032563020
326,CT,Farmington Valley Health District,18603522333
327,CT,Franklin Health Department,18603880893
328,CT,Glastonbury Health Department,18605377214
329,CT,Greenwich Department of Health,12036227836
330,CT,Guilford Health Department,12034538118
331,CT,Haddam Health Department,18603458531
332,CT,Hartford Health and Human Services Department,18607574700
333,CT,Killingworth Health Department,18606631765223
334,CT,Lebanon Health Department,18606426088
335,CT,Ledge Light Health District,18604484882
336,CT,Madison Health Department,12032455681
337,CT,Manchester Health Department,18606473173
338,CT,Meriden Department of Health and Human Services,12036304221
339,CT,Middlefield Health Department,18603497123
340,CT,Middletown Health Department,18606384960
341,CT,Milford Health Department,12037833285
342,CT,Monroe Health Department,18606658587
343,CT,Naugatuck Valley Health District,12038813255
344,CT,New Britain Health Department,18608263464
345,CT,New Canaan Health Department,12035943018
346,CT,New Fairfield Health Department,12033125640
347,CT,New Haven Health Department,12039466978
348,CT,New Milford Department of Health,18603556035
349,CT,Newtown Health District,12032704291
350,CT,North Central Health District,18607450383
351,CT,North Stonington Health Office,18605991871
352,CT,Northeast District Department of Health,18607747350
353,CT,Norwalk Health Department,12038547868
354,CT,Orange Health Department,12038912122
355,CT,Plainville-Southington Regional Health District,18602766275
356,CT,Pomperaug Health District,12032649616
357,CT,Preston Health Department,18603767060
358,CT,Quinnipiack Valley Health District,12032484528
359,CT,Redding Health Department,12039382559
360,CT,Ridgefield Health Department,12034312746
361,CT,Salem Health Department,18608593873
362,CT,Sharon Health Department,18603556035
363,CT,Sherman Health Department,12033125640
364,CT,Somers Health Department,18607638216
365,CT,South Windsor Health Department,18603376263
366,CT,Stratford Health Department,12033854090
367,CT,Torrington Area Health District,18604890436
368,CT,Trumbull Health Department,12034521032
369,CT,Uncas Health District,18608231189
370,CT,Wallingford Health Department,12032942065
371,CT,Washington Health Department,18603556035
372,CT,Waterbury Health Department,12039466999
373,CT,West Hartford-Bloomfield Health District,18605617900
374,CT,West Haven Health Department,12039373660
375,CT,Westbrook Health Department,18603999869
376,CT,Westport-Weston Health District,12032279571244
377,CT,Wilton Health Department,12032168384
378,CT,Windsor Health Department,18605493398
379,DE,"Delaware Department of Health, Northern Health Services",13029958632
380,DE,Delaware Health and Social Services Division of Public Health ,13028565355
381,FL,Alachua County Health Department,13523347900
382,FL,Baker County Public Health Department,19042596291
383,FL,Bay County Health Department,18508724455
384,FL,Bradford County Health Department,19049647732131
385,FL,Calhoun County Public Health Department,18506745645
386,FL,Citrus County Health Department,13525270068
387,FL,Clay County Health Department,19045292800
388,FL,Columbia County Public Health Department,13867581037
389,FL,DeSoto County Health Department,18639934601118
390,FL,Dixie County Health Department,13524981360
391,FL,Escambia County Health Department,18505956555
392,FL,Flagler County Health Department,138643773502231
393,FL,Florida Department of Health in Brevard County ,13214547112
394,FL,Florida Department of Health in Broward County,19544674811
395,FL,Florida Department of Health in Charlotte County,19416391181
396,FL,Florida Department of Health in Collier County,12392528200
397,FL,Florida Department of Health in Duval County,19042531000
398,FL,Florida Department of Health in Gadsden County,18508757200342
399,FL,Florida Department of Health in Hillsborough County,18133078000
400,FL,Florida Department of Health in Jefferson County,18503420170
401,FL,Florida Department of Health in Lee County ,12394616150
402,FL,Florida Department of Health in Madison County,18509735000
403,FL,Florida Department of Health in Manatee County,194174807471200
404,FL,Florida Department of Health in Miami-Dade County,13053242400
405,FL,Florida Department of Health in Okaloosa County,18508339245
406,FL,Florida Department of Health in Osceola County,140734320002020
407,FL,Florida Department of Health in Polk County,18635782101
408,FL,Florida Department of Health in Seminole County,14076653200
409,FL,Florida Department of Health in St. Johns County,19042093250
410,FL,Florida Department of Health in Volusia County,13862740799
411,FL,Franklin County Health Department,18507056104
412,FL,Gilchrist County Health Department,135246331202000
413,FL,Glades County Health Department,18639460707
414,FL,Gulf County Health Department,18502271276103
415,FL,Hamilton County Health Department,13867921414
416,FL,Hardee County Health Department,18635782101128
417,FL,Hendry County Health Department,18636744041
418,FL,Hernando County Health Department,1352540680082114
419,FL,Highlands County Health Department,18633866040238
420,FL,Holmes County Health Department,185054785000970
421,FL,Indian River County Health Department,17727947450
422,FL,Jackson County Health Department,18505262412101
423,FL,Lafayette County Health Department,13862941321
424,FL,Lake County Health Department,135258964242261
425,FL,Leon County Health Department,18506068150
426,FL,Levy County Health Department,13524865300
427,FL,Liberty County Health Department,18506432415
428,FL,Marion County Health Department,135262901372104
429,FL,Martin County Health Department,177222140002123
430,FL,Monroe County Health Department,13052937500
431,FL,Nassau County Health Department,19048756100
432,FL,Okeechobee County Health Department,18634625819
433,FL,Orange County Health Department,140785814001164
434,FL,Palm Beach County Health Department,15618404500
435,FL,Pasco County Health Department,17278615250101
436,FL,Pinellas County Health Department,17278246900
437,FL,Putnam County Health Department,138632632003254
438,FL,Santa Rosa County Health Department,18509835200
439,FL,Sarasota County Health Department,19418612950
440,FL,St. Lucie County Health Department,17728734924
441,FL,Sumter County Health Department,13525693138
442,FL,Suwannee County Health Department,13863622708222
443,FL,Taylor County Health Department,18505845087142
444,FL,Union County Health Department,13864963211
445,FL,Wakulla County Health Department,18509260400
446,FL,Walton County Health Department,18508928040
447,FL,Washington County Health Department,18506386240
448,GA,Appling County Health Department,19123674601
449,GA,Atkinson County Health Department,18554734374
450,GA,Bacon County Health Department,19126324712
451,GA,Baker County Health Department,12294304599
452,GA,Baldwin County Health Department,14784454274
453,GA,Banks County Health Department,17066772296
454,GA,Barrow County Health Department,17703073011
455,GA,Bartow County Health Department,17703821920
456,GA,Ben Hill County Health Department,12293335290
457,GA,Berrien County Health Department,12296865411
458,GA,Bleckley County Health Department,14789346590
459,GA,Brantley County Health Department,19124626165
460,GA,Brooks County Health Department,12292637585
461,GA,Bryan County Health Department,19126534331
462,GA,Bulloch County Health Department,19122856002
463,GA,Burke County Health Department,17065543456
464,GA,Butts County Health Department,17705042230
465,GA,Calhoun County Health Department,12998492515
466,GA,Camden County Health Department,19127294554
467,GA,Candler County Health Department,19126856002
468,GA,Carroll County Health Department,17708366667
469,GA,Catoosa County Health Department,17069352366
470,GA,Charlton County Health Department,19122856002
471,GA,Chatham County Health Department,19123562441
472,GA,Chattahoochee County Health Department,17069893663
473,GA,Chattooga County Health Department,17068573471
474,GA,Cherokee County Health Department,17703457371
475,GA,Clarke County Health Department,17063896921
476,GA,Clay County Health Department,12297682355
477,GA,Clinch County Health Department,19124872199
478,GA,Cobb & Douglas Public Health ,17705142300
479,GA,Cobb County Board of Health,17705142300
480,GA,Coffee County Health Department,18554734374
481,GA,Colquitt County Health Department,12298917100
482,GA,Columbia County Health Department,17065412869
483,GA,Cook County Health Department,12298965709
484,GA,Coweta County Health Department,17706830497
485,GA,Crawford County Health Department,14788363167
486,GA,Crisp County Health Department,12292762680
487,GA,Dade County Health Department,17066574213
488,GA,Dawson County Health Department,17062652611
489,GA,Decatur County Health Department,12292483055
490,GA,"District 1, Unit 2: North Georgia Health District",17062722342
491,GA,District 10: Northeast Health District,17065832870
492,GA,District 2: North Health District,17705355743
493,GA,"District 3, Unit 2: Fulton County Board of Health",14046131205
494,GA,"District 3, Unit 3: Clayton County Health District",16786107199
495,GA,"District 3, Unit 4:  East Metro Health District",17703394283
496,GA,"District 3, Unit 5: DeKalb Health District",14042943700
497,GA,District 4: LaGrange Health District,17062987727
498,GA,District 6: East Central Health District,17066674250
499,GA,District 7 - West Central Health District,17063216108
500,GA,"District 8, Unit 1: South Health District",12293335290
501,GA,"District 8, Unit 2, Southwest Health District",12294304127
502,GA,"District 9, Unit 1: Coastal Health District",19126445210
503,GA,"District 9, Unit 2: Southeast Health District",19122856002
504,GA,Dodge County Health Department,14783745576
505,GA,Dooly County Health Department,12292684725
506,GA,Dougherty County Health Department,12294306200
507,GA,Douglas County Board of Health,17705142300
508,GA,Early County Health Department,12297233707
509,GA,Echols County Health Department,12295595103
510,GA,Effingham County Health Department,19127546484
511,GA,Elbert County Health Department,17062833775
512,GA,Emanuel County Health Department,14782377501
513,GA,Evans County Health Department,19127392088
514,GA,Fannin County Health Center,17066323023
515,GA,Fayette County Health Department,1770.305.5416
516,GA,Floyd County Health Department,17062956704
517,GA,Forsyth County Health Department,17707816900
518,GA,Franklin County Health Department,17063845575
519,GA,Gilmer County Health Department,17066354363
520,GA,Glascock County Health Department,17065982061
521,GA,Glynn County Health Department,19122643961
522,GA,Gordon County Health Department,17066241444
523,GA,Grady County Health Department,12293772992
524,GA,Greene County Health Department,17064537561
525,GA,"Gwinnett, Newton & Rockdale County Health Departments",17703394283
526,GA,Habersham County Health Department,17067787156
527,GA,Hall County Health Department,17705315600
528,GA,Hancock County Health Department,17064446616
529,GA,Haralson Community Health Services,17706468193
530,GA,Harris County Health Department,17066285037
531,GA,Hart County Health Department,17063765117
532,GA,Heard County Health Department,17066753456
533,GA,Henry County Health Department,17702886136
534,GA,Houston County Health Department,14782182020
535,GA,Irwin County Health Department,12294685003
536,GA,Jackson County Health Department,17063671825
537,GA,Jasper County Health Department,17064686850
538,GA,Jeff Davis County Health Department,19123752425
539,GA,Jefferson County Board of Health,14786253716
540,GA,Jenkins County Health Department,14789822811
541,GA,Johnson County Health Department,14788643542
542,GA,Jones County Health Department,14789863164
543,GA,Lamar County Health Department,17703581483
544,GA,Lanier County Health Department,12294823294
545,GA,Laurens County Health Department,14782756545
546,GA,Lee County Health Department,12297593014
547,GA,Liberty County Health Department,19128762173
548,GA,Lincoln County Health Department,17063593154
549,GA,Long County Health Department,19125452107
550,GA,Lowndes County Health Department,12293335257
551,GA,Lumpkin County Health Department,17068672727
552,GA,Macon County Health Department,14784728121
553,GA,Macon-Bibb County Health Department,14787450411
554,GA,Madison County Health Department,17067952131
555,GA,Marion County Health Department,12296495664
556,GA,McDuffie County Health Department,17065951740
557,GA,McIntosh County Health Department,19128325473
558,GA,Meriwether County Health Department,17066724974
559,GA,Miller County Health Department,12297583344
560,GA,Mitchell County Health Department,12293362055
561,GA,Monroe County Health Department,14789925083
562,GA,Montgomery County Health Department,19125834602
563,GA,Morgan County Health Department,17067521266
564,GA,Murray County Health Department,17066954585
565,GA,Muscogee County Health Department,17063216300
566,GA,Newton County Health Department,17707869086
567,GA,Oconee County Health Department,17067693983
568,GA,Oglethorpe County Health Department,17067438181
569,GA,Paulding County Health Department,17704437881
570,GA,Peach County Health Department,14788256939
571,GA,"60 Health WayJasper, GA 30143-1912",17062532821
572,GA,Pierce County Health Department,19124492032
573,GA,Pike County Health Department,17705678972
574,GA,Polk County Health Department,17707492270
575,GA,Pulaski County Health Department,14787831361
576,GA,Putnam County Health Department,17064858591
577,GA,Quitman County Health Department,12293343697
578,GA,Rabun County Health Department,17062120289
579,GA,Randolph County Health Department,12297322414
580,GA,Richmond County Health Department,17067215800
581,GA,Rockdale County Health Department,17707854345
582,GA,Schley County Health Department,12299372208
583,GA,Screven County Health Department,19125642182
584,GA,Seminole County Health Department,12295242577
585,GA,Spalding County Health Department,17704674230
586,GA,Stephens County Health Department,17062824507
587,GA,Stewart County Health Department,12298384859
588,GA,Sumter County Health Department,12299243637
589,GA,Talbot County Health Department,17066658561
590,GA,Taliaferro County Health Department,17064562316
591,GA,Tattnall County Health Department,19125577850
592,GA,Taylor County Health Department,14788625628
593,GA,Telfair County Health Department,12298687404
594,GA,Terrell County Health Department,12299952188
595,GA,Thomas County Health Department,12292264241
596,GA,Tift County Health Department,12293868373
597,GA,Toombs County Health Department,19125268109
598,GA,Towns County Health Department,17068962265
599,GA,Treutlen County Health Department,14782756545
600,GA,Troup County Health Department,17068454085
601,GA,Turner County Health Department,12295674357
602,GA,Twiggs County Health Department,14789453351
603,GA,Union County Health Department,17067456292
604,GA,Upson County Health Department,17068454035
605,GA,Walker County Health Department,17066385577
606,GA,Walton County Health Department,17702074125
607,GA,Ware County Health Department,19122831875
608,GA,Warren County Health Department,17066674250
609,GA,Washington County Health Department,14785533210
610,GA,Wayne County Health Department,19124272042
611,GA,Webster County Health Department,12298283225
612,GA,Wheeler County Health Department,19125687161
613,GA,White County Health Department,17068652191
614,GA,Whitfield County Health Department,17062799600
615,GA,Wilcox County Health Department,12293652310
616,GA,Wilkes County Health Department,17066782622
617,GA,Wilkinson County Health Department,14789462226
618,GA,Worth County Health Department,12297772150
619,HI,Hawaii District Health Office,18089746006
620,HI,Honolulu Department of Health,18085864412
621,HI,Kalawao District Health Office,18085676924
622,HI,Kauai District Health Office,18082413614
623,HI,Maui District Health Office,18089848200
624,ID,Central District Health  (Region 4),12083278501
625,ID,Eastern Idaho Public Health District (Region 7),12085333163
626,ID,North Central District Health Department (Region  2),120879931001344
627,ID,Panhandle Health District (Region 1),12084155102
628,ID,South Central Public Health District (PHD 5),12087375902200
629,ID,Southeastern Idaho Public Health,12082339080
630,ID,Southwest District Health Department (Region 3),12084555300
631,IL,Adams County Health Department,12172228440108
632,IL,Berwyn Township Public Health District,17087886600
633,IL,Bond County Health Department,16186641442
634,IL,Boone County Department of Public Health,18155478591
635,IL,Brown County Health Department,12177732714
636,IL,Bureau County Health Department,1815872509113
637,IL,Bureau Putnam & Marshall County Health Department,18158725091232
638,IL,Calhoun County Health Department,16185762428
639,IL,Carroll County Health Department,18152448855
640,IL,Cass County Health Department,12174523057
641,IL,Champaign-Urbana Public Health District,12175315369
642,IL,Chicago Department of Public Health,13127479872
643,IL,Chicago Regional Office/Illinois Department of Health,13127933377
644,IL,Christian County Health Department,12178244113
