dataset,feature
ahrf_health,"HPSACode-MentalHealth06/151=Whole,2=PartCounty2015"
ahrf_health,"HPSACode-MentalHealth12/101=Whole,2=PartCounty2010"
ahrf_health,ContiguousCounty#1
ahrf_health,ContiguousCounty#2
ahrf_health,ContiguousCounty#3
ahrf_health,ContiguousCounty#4
ahrf_health,ContiguousCounty#5
ahrf_health,ContiguousCounty#6
ahrf_health,ContiguousCounty#7
ahrf_health,ContiguousCounty#8
ahrf_health,ContiguousCounty#9
ahrf_health,ContiguousCounty#10
ahrf_health,ContiguousCounty#11
ahrf_health,ContiguousCounty#12
ahrf_health,ContiguousCounty#13
ahrf_health,ContiguousCounty#14
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2017"
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2016"
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2015"
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2014"
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2013"
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2012"
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2011"
ahrf_health,"Phys,PrimaryCare,PatientCareNon-Fed2010"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2017"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2016"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2015"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2014"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2013"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2012"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2011"
ahrf_health,"Phys,PrimaryCare,HspResidentNon-Fed2010"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2017"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2016"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2015"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2014"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2013"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2012"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2011"
ahrf_health,"MD's,PrimaryCare,PatientCareNon-Fed2010"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2017"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2016"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2015"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2014"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2013"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2012"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2011"
ahrf_health,"MD's,PrimaryCare,HspResidentNon-Fed2010"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2017"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2016"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2015"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2014"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2013"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2012"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2011"
ahrf_health,"DO's,PrimaryCare,PatientCareNon-Fed2010"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2017"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2016"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2015"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2014"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2013"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2012"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2011"
ahrf_health,"DO's,PrimaryCare,HspResidentNon-Fed2010"
ahrf_health,TotActiveM.D.sNon-FedandFed2017
ahrf_health,TotActiveM.D.sNon-FedandFed2015
ahrf_health,TotActiveM.D.sNon-FedandFed2010
ahrf_health,TotalActiveM.D.sNon-Federal2017
ahrf_health,TotalActiveM.D.sNon-Federal2016
ahrf_health,TotalActiveM.D.sNon-Federal2015
ahrf_health,TotalActiveM.D.sNon-Federal2014
ahrf_health,TotalActiveM.D.sNon-Federal2013
ahrf_health,TotalActiveM.D.sNon-Federal2012
ahrf_health,TotalActiveM.D.sNon-Federal2011
ahrf_health,TotalActiveM.D.sNon-Federal2010
ahrf_health,TotalActiveM.D.sNon-Federal2005
ahrf_health,TotalActiveM.D.sNon-Federal2000
ahrf_health,TotalActiveM.D.sNon-Federal1990
ahrf_health,TotalActiveM.D.sNon-Federal1980
ahrf_health,TotalActiveM.D.sNon-Federal1970
ahrf_health,TotalActiveM.D.sNon-Federal1960
ahrf_health,"TotalM.D.'s,TotNon-FedandFed2017"
ahrf_health,"TotalM.D.'s,TotNon-FedandFed2015"
ahrf_health,"TotalM.D.'s,TotNon-FedandFed2010"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2017"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2016"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2015"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2014"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2013"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2012"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2011"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2010"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2005"
ahrf_health,"TotalM.D.'s,TotalNon-Fed2000"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2017"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2016"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2015"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2014"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2013"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2012"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2011"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2010"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2005"
ahrf_health,"M.D.'s,TotalPtnCareNon-Fed2000"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2017"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2016"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2015"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2014"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2013"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2012"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2011"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2010"
ahrf_health,"M.D.'s,PC,OffBasedNon-Fed2005"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2017"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2016"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2015"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2014"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2013"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2012"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2011"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2010"
ahrf_health,"MDs,TotHosp-BasedPCNon-Fed2005"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2017"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2016"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2015"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2014"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2013"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2012"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2011"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2010"
ahrf_health,"M.D.'s,TotalPC,HospResidentNon-Fed2005"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2017"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2016"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2015"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2014"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2013"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2012"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2011"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2010"
ahrf_health,"M.D.'s,TotalPC,HospFTStaffNon-Fed2005"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2017"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2016"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2015"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2014"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2013"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2012"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2011"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2010"
ahrf_health,"M.D.'s,TotalOthProfActivityNon-Fed2005"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2017"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2016"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2015"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2014"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2013"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2012"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2011"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2010"
ahrf_health,"M.D.'s,TotalAdministrationNon-Fed2005"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2017"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2016"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2015"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2014"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2013"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2012"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2011"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2010"
ahrf_health,"M.D.'s,TotalTeachingNon-Fed2005"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2017"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2016"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2015"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2014"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2013"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2012"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2011"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2010"
ahrf_health,"M.D.'s,TotalResearchNon-Fed2005"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2017"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2016"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2015"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2014"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2013"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2012"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2011"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2010"
ahrf_health,"M.D.'s,TotalOtherNon-Fed2005"
ahrf_health,"MD's,TotalGenPract,TotalNon-Fed2017"
ahrf_health,"MD's,TotalGenPract,TotalNon-Fed2015"
ahrf_health,"MD's,TotalGenPract,TotalNon-Fed2010"
ahrf_health,"MD's,TotGenPract,TotPtnCrNon-Fed2017"
ahrf_health,"MD's,TotGenPract,TotPtnCrNon-Fed2015"
ahrf_health,"MD's,TotGenPract,TotPtnCrNon-Fed2010"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2017"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2016"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2015"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2014"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2013"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2012"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2011"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2010"
ahrf_health,"MD's,TotGenPract,PC,OffBsdNon-Fed2005"
ahrf_health,"MD's,TotGenPract,PC,HspResNon-Fed2017"
ahrf_health,"MD's,TotGenPract,PC,HspResNon-Fed2015"
ahrf_health,"MD's,TotGenPract,PC,HspResNon-Fed2010"
ahrf_health,"MD's,TotGenPrac,PC,HspFTStfNon-Fed2017"
ahrf_health,"MD's,TotGenPrac,PC,HspFTStfNon-Fed2015"
ahrf_health,"MD's,TotGenPrac,PC,HspFTStfNon-Fed2010"
ahrf_health,"MD's,TotGenPract,AdministNon-Fed2017"
ahrf_health,"MD's,TotGenPract,AdministNon-Fed2015"
ahrf_health,"MD's,TotGenPract,AdministNon-Fed2010"
ahrf_health,"MD's,TotGenPract,TeachingNon-Fed2017"
ahrf_health,"MD's,TotGenPract,TeachingNon-Fed2015"
ahrf_health,"MD's,TotGenPract,TeachingNon-Fed2010"
ahrf_health,"MD's,TotGenPract,ResearchNon-Fed2017"
ahrf_health,"MD's,TotGenPract,ResearchNon-Fed2015"
ahrf_health,"MD's,TotGenPract,ResearchNon-Fed2010"
ahrf_health,"MD's,TotGenPract,OtherNon-Fed2017"
ahrf_health,"MD's,TotGenPract,OtherNon-Fed2015"
ahrf_health,"MD's,TotGenPract,OtherNon-Fed2010"
ahrf_health,"MD's,GenPract,TotalNon-Fed2017"
ahrf_health,"MD's,GenPract,TotalNon-Fed2015"
ahrf_health,"MD's,GenPract,TotalNon-Fed2010"
ahrf_health,"MD's,GenPract,TotalPtnCareNon-Fed2017"
ahrf_health,"MD's,GenPract,TotalPtnCareNon-Fed2015"
ahrf_health,"MD's,GenPract,TotalPtnCareNon-Fed2010"
ahrf_health,"MD's,GenPract,PC,OfficeBsdNon-Fed2017"
ahrf_health,"MD's,GenPract,PC,OfficeBsdNon-Fed2015"
ahrf_health,"MD's,GenPract,PC,OfficeBsdNon-Fed2010"
ahrf_health,"MD's,GenPract,PC,HspRsdntNon-Fed2017"
ahrf_health,"MD's,GenPract,PC,HspRsdntNon-Fed2015"
ahrf_health,"MD's,GenPract,PC,HspRsdntNon-Fed2010"
ahrf_health,"MD's,GenPract,PC,HspFTStfNon-Fed2017"
ahrf_health,"MD's,GenPract,PC,HspFTStfNon-Fed2015"
ahrf_health,"MD's,GenPract,PC,HspFTStfNon-Fed2010"
ahrf_health,"MD's,GenPract,AdministrationNon-Fed2017"
ahrf_health,"MD's,GenPract,AdministrationNon-Fed2015"
ahrf_health,"MD's,GenPract,AdministrationNon-Fed2010"
ahrf_health,"MD's,GenPract,TeachingNon-Fed2017"
ahrf_health,"MD's,GenPract,TeachingNon-Fed2015"
ahrf_health,"MD's,GenPract,TeachingNon-Fed2010"
ahrf_health,"MD's,GenPract,ResearchNon-Fed2017"
ahrf_health,"MD's,GenPract,ResearchNon-Fed2015"
ahrf_health,"MD's,GenPract,ResearchNon-Fed2010"
ahrf_health,"MD's,GenPract,OtherNon-Fed2017"
ahrf_health,"MD's,GenPract,OtherNon-Fed2015"
ahrf_health,"MD's,GenPract,OtherNon-Fed2010"
ahrf_health,"MD's,FamMedGen,TotalNon-Fed2017"
ahrf_health,"MD's,FamMedGen,TotalNon-Fed2015"
ahrf_health,"MD's,FamMedGen,TotalNon-Fed2010"
ahrf_health,"MD's,FamMedGen,TotPtnCrNon-Fed2017"
ahrf_health,"MD's,FamMedGen,TotPtnCrNon-Fed2015"
ahrf_health,"MD's,FamMedGen,TotPtnCrNon-Fed2010"
ahrf_health,"MD's,FamMedGen,PC,OffBsdNon-Fed2017"
ahrf_health,"MD's,FamMedGen,PC,OffBsdNon-Fed2015"
ahrf_health,"MD's,FamMedGen,PC,OffBsdNon-Fed2010"
ahrf_health,"MD's,FamMedGen,PC,HspRsdntNon-Fed2017"
ahrf_health,"MD's,FamMedGen,PC,HspRsdntNon-Fed2015"
ahrf_health,"MD's,FamMedGen,PC,HspRsdntNon-Fed2010"
ahrf_health,"MD's,FamMedGen,HspFTStaffNon-Fed2017"
ahrf_health,"MD's,FamMedGen,HspFTStaffNon-Fed2015"
ahrf_health,"MD's,FamMedGen,HspFTStaffNon-Fed2010"
ahrf_health,"MD's,FamMedGen,AdministratnNon-Fed2017"
ahrf_health,"MD's,FamMedGen,AdministratnNon-Fed2015"
ahrf_health,"MD's,FamMedGen,AdministratnNon-Fed2010"
ahrf_health,"MD's,FamMedGen,TeachingNon-Fed2017"
ahrf_health,"MD's,FamMedGen,TeachingNon-Fed2015"
ahrf_health,"MD's,FamMedGen,TeachingNon-Fed2010"
ahrf_health,"MD's,FamMedGen,ResearchNon-Fed2017"
ahrf_health,"MD's,FamMedGen,ResearchNon-Fed2015"
ahrf_health,"MD's,FamMedGen,ResearchNon-Fed2010"
ahrf_health,"MD's,FamMedGen,OtherNon-Fed2017"
ahrf_health,"MD's,FamMedGen,OtherNon-Fed2015"
ahrf_health,"MD's,FamMedGen,OtherNon-Fed2010"
ahrf_health,"MD's,FamMedSubspec,TotalNon-Fed2017"
ahrf_health,"MD's,FamMedSubspec,TotalNon-Fed2015"
ahrf_health,"MD's,FamMedSubspec,TotalNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,TotPtnCrNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,TotPtnCrNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,TotPtnCrNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,PC,OffBsdNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,PC,OffBsdNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,PC,OffBsdNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,PC,HspResNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,PC,HspResNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,PC,HspResNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,HspFTStfNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,HspFTStfNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,HspFTStfNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,AdminNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,AdminNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,AdminNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,TeachingNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,TeachingNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,TeachingNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,ResearchNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,ResearchNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,ResearchNon-Fed2010"
ahrf_health,"MD's,FamMedSubsp,OtherNon-Fed2017"
ahrf_health,"MD's,FamMedSubsp,OtherNon-Fed2015"
ahrf_health,"MD's,FamMedSubsp,OtherNon-Fed2010"
ahrf_health,"MedSpecTot,TotalNon-Fed2017"
ahrf_health,"MedSpecTot,TotalNon-Fed2015"
ahrf_health,"MedSpecTot,TotalNon-Fed2010"
ahrf_health,"MedSpecTot,TotalPatnCareNon-Fed2017"
ahrf_health,"MedSpecTot,TotalPatnCareNon-Fed2015"
ahrf_health,"MedSpecTot,TotalPatnCareNon-Fed2010"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2017"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2016"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2015"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2014"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2013"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2012"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2011"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2010"
ahrf_health,"MedSpecTot,PC,OfficeBasedNon-Fed2005"
ahrf_health,"MedSpecTot,PC,HospResidentNon-Fed2017"
ahrf_health,"MedSpecTot,PC,HospResidentNon-Fed2015"
ahrf_health,"MedSpecTot,PC,HospResidentNon-Fed2010"
ahrf_health,"MedSpecTot,PC,HospFTStaffNon-Fed2017"
ahrf_health,"MedSpecTot,PC,HospFTStaffNon-Fed2015"
ahrf_health,"MedSpecTot,PC,HospFTStaffNon-Fed2010"
ahrf_health,"MedSpecTot,AdministrationNon-Fed2017"
ahrf_health,"MedSpecTot,AdministrationNon-Fed2015"
ahrf_health,"MedSpecTot,AdministrationNon-Fed2010"
ahrf_health,"MedSpecTot,TeachingNon-Fed2017"
ahrf_health,"MedSpecTot,TeachingNon-Fed2015"
ahrf_health,"MedSpecTot,TeachingNon-Fed2010"
ahrf_health,"MedSpecTot,ResearchNon-Fed2017"
ahrf_health,"MedSpecTot,ResearchNon-Fed2015"
ahrf_health,"MedSpecTot,ResearchNon-Fed2010"
ahrf_health,"MedSpecTot,OtherNon-Fed2017"
ahrf_health,"MedSpecTot,OtherNon-Fed2015"
ahrf_health,"MedSpecTot,OtherNon-Fed2010"
ahrf_health,"AllergyandImmunology,TotalNon-Fed2017"
ahrf_health,"AllergyandImmunology,TotalNon-Fed2015"
ahrf_health,"AllergyandImmunology,TotalNon-Fed2010"
ahrf_health,"AllergyandImmunology,TotPatnCrNon-Fed2017"
ahrf_health,"AllergyandImmunology,TotPatnCrNon-Fed2015"
ahrf_health,"AllergyandImmunology,TotPatnCrNon-Fed2010"
ahrf_health,"AllergyandImmunology,PC,OffBasedNon-Fed2017"
ahrf_health,"AllergyandImmunology,PC,OffBasedNon-Fed2015"
ahrf_health,"AllergyandImmunology,PC,OffBasedNon-Fed2010"
ahrf_health,"AllergyandImmunology,HospResdntNon-Fed2017"
ahrf_health,"AllergyandImmunology,HospResdntNon-Fed2015"
ahrf_health,"AllergyandImmunology,HospResdntNon-Fed2010"
ahrf_health,"AllergyandImmunlgy,PC,HospFTStfNon-Fed2017"
ahrf_health,"AllergyandImmunlgy,PC,HospFTStfNon-Fed2015"
ahrf_health,"AllergyandImmunlgy,PC,HospFTStfNon-Fed2010"
ahrf_health,"AllergyandImmunlgy,AdministrationNon-Fed2017"
ahrf_health,"AllergyandImmunlgy,AdministrationNon-Fed2015"
ahrf_health,"AllergyandImmunlgy,AdministrationNon-Fed2010"
ahrf_health,"AllergyandImmunology,TeachingNon-Fed2017"
ahrf_health,"AllergyandImmunology,TeachingNon-Fed2015"
ahrf_health,"AllergyandImmunology,TeachingNon-Fed2010"
ahrf_health,"AllergyandImmunology,ResearchNon-Fed2017"
ahrf_health,"AllergyandImmunology,ResearchNon-Fed2015"
ahrf_health,"AllergyandImmunology,ResearchNon-Fed2010"
ahrf_health,"AllergyandImmunology,OtherNon-Fed2017"
ahrf_health,"AllergyandImmunology,OtherNon-Fed2015"
ahrf_health,"AllergyandImmunology,OtherNon-Fed2010"
ahrf_health,"CardiovasDis,TotalNon-Fed2017"
ahrf_health,"CardiovasDis,TotalNon-Fed2015"
ahrf_health,"CardiovasDis,TotalNon-Fed2010"
ahrf_health,"CardiovasDis,TotalPatnCareNon-Fed2017"
ahrf_health,"CardiovasDis,TotalPatnCareNon-Fed2015"
ahrf_health,"CardiovasDis,TotalPatnCareNon-Fed2010"
ahrf_health,"CardiovasDis,PC,OfficeBasedNon-Fed2017"
ahrf_health,"CardiovasDis,PC,OfficeBasedNon-Fed2015"
ahrf_health,"CardiovasDis,PC,OfficeBasedNon-Fed2010"
ahrf_health,"CardiovasDis,PC,HospResdntNon-Fed2017"
ahrf_health,"CardiovasDis,PC,HospResdntNon-Fed2015"
ahrf_health,"CardiovasDis,PC,HospResdntNon-Fed2010"
ahrf_health,"CardiovasDis,PC,HospFTStfNon-Fed2017"
ahrf_health,"CardiovasDis,PC,HospFTStfNon-Fed2015"
ahrf_health,"CardiovasDis,PC,HospFTStfNon-Fed2010"
ahrf_health,"CardiovasDis,AdministrationNon-Fed2017"
ahrf_health,"CardiovasDis,AdministrationNon-Fed2015"
ahrf_health,"CardiovasDis,AdministrationNon-Fed2010"
