countyFIPS,county,State,StateName,lon,lat
1081,Lee County,Alabama,AL,-85.35526336,32.60991751
1083,Limestone County,Alabama,AL,-86.97369268,34.81222508
1085,Lowndes County,Alabama,AL,-86.65003578,32.15780715
1087,Macon County,Alabama,AL,-85.69511359,32.39385812
1089,Madison County,Alabama,AL,-86.54312668,34.76518768
1091,Marengo County,Alabama,AL,-87.77831202,32.25123243
1093,Marion County,Alabama,AL,-87.88319784,34.13791708
1095,Marshall County,Alabama,AL,-86.30606724,34.370296
1097,Mobile County,Alabama,AL,-88.20696476,30.81361759
1099,Monroe County,Alabama,AL,-87.36400237,31.57220015
1101,Montgomery County,Alabama,AL,-86.2071019,32.2253798
1103,Morgan County,Alabama,AL,-86.84793577,34.45799994
1105,Perry County,Alabama,AL,-87.28406573,32.63755143
1107,Pickens County,Alabama,AL,-88.08688718,33.28043537
1109,Pike County,Alabama,AL,-85.94178756,31.80547499
1111,Randolph County,Alabama,AL,-85.4565992,33.29417484
1113,Russell County,Alabama,AL,-85.19410539,32.29519985
1115,St. Clair County,Alabama,AL,-86.31393064,33.72446506
1117,Shelby County,Alabama,AL,-86.66510363,33.26761124
1119,Sumter County,Alabama,AL,-88.19206323,32.58961948
1121,Talladega County,Alabama,AL,-86.1631135,33.3865307
1123,Tallapoosa County,Alabama,AL,-85.8010116,32.86843413
1125,Tuscaloosa County,Alabama,AL,-87.51696088,33.29437697
1127,Walker County,Alabama,AL,-87.28917888,33.81329044
1129,Washington County,Alabama,AL,-88.2056405,31.41319608
1131,Wilcox County,Alabama,AL,-87.2977354,31.99307576
1133,Winston County,Alabama,AL,-87.37003595,34.15314922
4001,Apache County,Arizona,AZ,-109.4911465,35.4050949
4003,Cochise County,Arizona,AZ,-109.7629489,31.88631155
4005,Coconino County,Arizona,AZ,-111.76825,35.83392392
4007,Gila County,Arizona,AZ,-110.8133077,33.79957115
4009,Graham County,Arizona,AZ,-109.8990184,32.93441503
4011,Greenlee County,Arizona,AZ,-109.2466206,33.20886115
4013,Maricopa County,Arizona,AZ,-112.4891389,33.35263707
4015,Mohave County,Arizona,AZ,-113.7530226,35.70647702
4017,Navajo County,Arizona,AZ,-110.3227634,35.39276591
4019,Pima County,Arizona,AZ,-111.8001696,32.10501296
4021,Pinal County,Arizona,AZ,-111.3518741,32.90667665
4023,Santa Cruz County,Arizona,AZ,-110.8630803,31.53600577
4025,Yavapai County,Arizona,AZ,-112.5499732,34.59798155
4027,Yuma County,Arizona,AZ,-113.9078575,32.77978162
5001,Arkansas County,Arkansas,AR,-91.37334862,34.29669057
5003,Ashley County,Arkansas,AR,-91.7718601,33.18646631
5005,Baxter County,Arkansas,AR,-92.34346141,36.2916046
5007,Benton County,Arkansas,AR,-94.26402599,36.34167755
5009,Boone County,Arkansas,AR,-93.08863785,36.30918328
5011,Bradley County,Arkansas,AR,-92.16599707,33.46463041
5013,Calhoun County,Arkansas,AR,-92.51042418,33.55396653
5015,Carroll County,Arkansas,AR,-93.54763094,36.33781409
5017,Chicot County,Arkansas,AR,-91.29630665,33.26091752
5019,Clark County,Arkansas,AR,-93.17439489,34.05703316
5021,Clay County,Arkansas,AR,-90.42501648,36.37179616
5023,Cleburne County,Arkansas,AR,-92.04132081,35.52982647
5025,Cleveland County,Arkansas,AR,-92.18129679,33.89957956
5027,Columbia County,Arkansas,AR,-93.22920976,33.21548897
5029,Conway County,Arkansas,AR,-92.69835872,35.25373435
5031,Craighead County,Arkansas,AR,-90.6430341,35.82915721
5033,Crawford County,Arkansas,AR,-94.25175754,35.5843972
5035,Crittenden County,Arkansas,AR,-90.30149903,35.20144073
5037,Cross County,Arkansas,AR,-90.77551081,35.28915734
5039,Dallas County,Arkansas,AR,-92.64901096,33.97069263
5041,Desha County,Arkansas,AR,-91.27147343,33.83234098
5043,Drew County,Arkansas,AR,-91.72331533,33.58639516
5045,Faulkner County,Arkansas,AR,-92.33094352,35.14224253
5047,Franklin County,Arkansas,AR,-93.89830963,35.50546758
5049,Fulton County,Arkansas,AR,-91.82490566,36.37956836
5051,Garland County,Arkansas,AR,-93.14444412,34.57644159
5053,Grant County,Arkansas,AR,-92.42539288,34.29749043
5055,Greene County,Arkansas,AR,-90.55983788,36.11619833
5057,Hempstead County,Arkansas,AR,-93.66853507,33.73577783
5059,Hot Spring County,Arkansas,AR,-92.9384467,34.32236611
5061,Howard County,Arkansas,AR,-93.99788332,34.09553668
5063,Independence County,Arkansas,AR,-91.5785779,35.73542151
5065,Izard County,Arkansas,AR,-91.9243404,36.08622486
5067,Jackson County,Arkansas,AR,-91.22316384,35.59122045
5069,Jefferson County,Arkansas,AR,-91.93175235,34.27586793
5071,Johnson County,Arkansas,AR,-93.47142181,35.5632314
5073,Lafayette County,Arkansas,AR,-93.60666142,33.23929763
5075,Lawrence County,Arkansas,AR,-91.1179187,36.03754262
5077,Lee County,Arkansas,AR,-90.77401809,34.78294893
5079,Lincoln County,Arkansas,AR,-91.72609781,33.96344474
5081,Little River County,Arkansas,AR,-94.24316887,33.70943008
5083,Logan County,Arkansas,AR,-93.72428698,35.21063233
5085,Lonoke County,Arkansas,AR,-91.89113355,34.75678213
5087,Madison County,Arkansas,AR,-93.73086152,36.00389701
5089,Marion County,Arkansas,AR,-92.68189387,36.26366237
5091,Miller County,Arkansas,AR,-93.89572104,33.31893465
5093,Mississippi County,Arkansas,AR,-90.05540172,35.75570531
5095,Monroe County,Arkansas,AR,-91.20856742,34.67577812
5097,Montgomery County,Arkansas,AR,-93.65831855,34.54772903
5099,Nevada County,Arkansas,AR,-93.3071694,33.66371797
5101,Newton County,Arkansas,AR,-93.22041269,35.9112378
5103,Ouachita County,Arkansas,AR,-92.88709996,33.59759164
5105,Perry County,Arkansas,AR,-92.9415163,34.94234579
5107,Phillips County,Arkansas,AR,-90.85023789,34.43593202
5109,Pike County,Arkansas,AR,-93.65884171,34.17130511
5111,Poinsett County,Arkansas,AR,-90.66737356,35.56784271
5113,Polk County,Arkansas,AR,-94.23785272,34.49701429
5115,Pope County,Arkansas,AR,-93.03339602,35.44081908
5117,Prairie County,Arkansas,AR,-91.55385063,34.83173761
5119,Pulaski County,Arkansas,AR,-92.3127229,34.77183315
5121,Randolph County,Arkansas,AR,-91.0407469,36.34581173
5123,St. Francis County,Arkansas,AR,-90.76062982,35.01549435
5125,Saline County,Arkansas,AR,-92.67230801,34.65007785
5127,Scott County,Arkansas,AR,-94.0745859,34.86653654
5129,Searcy County,Arkansas,AR,-92.69877886,35.9044191
5131,Sebastian County,Arkansas,AR,-94.28039312,35.2038252
5133,Sevier County,Arkansas,AR,-94.25270738,34.00088746
5135,Sharp County,Arkansas,AR,-91.49387343,36.15308598
5137,Stone County,Arkansas,AR,-92.16095128,35.85321963
5139,Union County,Arkansas,AR,-92.6011337,33.17079784
5141,Van Buren County,Arkansas,AR,-92.52627345,35.57365455
5143,Washington County,Arkansas,AR,-94.22168881,35.97609413
5145,White County,Arkansas,AR,-91.74561822,35.25271047
5147,Woodruff County,Arkansas,AR,-91.24639277,35.1818549
5149,Yell County,Arkansas,AR,-93.41370271,35.00455982
6001,Alameda County,California,CA,-121.8494943,37.64653745
6003,Alpine County,California,CA,-119.8176648,38.59540533
6005,Amador County,California,CA,-120.6408645,38.45256542
6007,Butte County,California,CA,-121.6007712,39.66723394
6009,Calaveras County,California,CA,-120.5530165,38.20920689
6011,Colusa County,California,CA,-122.2414946,39.18270042
6013,Contra Costa County,California,CA,-121.9166794,37.91861075
6015,Del Norte County,California,CA,-123.9036495,41.76026868
6017,El Dorado County,California,CA,-120.5285454,38.78075659
6019,Fresno County,California,CA,-119.6410355,36.75367786
6021,Glenn County,California,CA,-122.3912787,39.60512352
6023,Humboldt County,California,CA,-123.875444,40.70745304
6025,Imperial County,California,CA,-115.3751413,33.044716
6027,Inyo County,California,CA,-117.4184965,36.51635004
6029,Kern County,California,CA,-118.728692,35.34162905
6031,Kings County,California,CA,-119.8055367,36.06644424
6033,Lake County,California,CA,-122.7625711,39.10908218
6035,Lassen County,California,CA,-120.6006906,40.6874673
6037,Los Angeles County,California,CA,-118.2127419,34.36995693
6039,Madera County,California,CA,-119.7624132,37.21357187
6041,Marin County,California,CA,-122.695332,38.07104975
6043,Mariposa County,California,CA,-119.8983572,37.58055949
6045,Mendocino County,California,CA,-123.3848961,39.45640061
6047,Merced County,California,CA,-120.7210913,37.18523452
6049,Modoc County,California,CA,-120.7383261,41.60846865
6051,Mono County,California,CA,-118.8873505,37.93876612
6053,Monterey County,California,CA,-121.2123651,36.20884676
6055,Napa County,California,CA,-122.3382312,38.5091312
6057,Nevada County,California,CA,-120.7703875,39.30407464
6059,Orange County,California,CA,-117.7532706,33.71695588
6061,Placer County,California,CA,-120.7165927,39.06660908
6063,Plumas County,California,CA,-120.8496506,40.01530534
6065,Riverside County,California,CA,-116.0093191,33.74562148
6067,Sacramento County,California,CA,-121.3375098,38.45135776
6069,San Benito County,California,CA,-121.0694853,36.60208872
6071,San Bernardino County,California,CA,-116.1729363,34.84516502
6073,San Diego County,California,CA,-116.7201884,33.04014595
6075,San Francisco County,California,CA,-122.4065487,37.753324
6077,San Joaquin County,California,CA,-121.267813,37.94072224
6079,San Luis Obispo County,California,CA,-120.3724419,35.37930666
6081,San Mateo County,California,CA,-122.2981593,37.43682908
6083,Santa Barbara County,California,CA,-120.0109748,34.73351459
6085,Santa Clara County,California,CA,-121.6922741,37.23001509
6087,Santa Cruz County,California,CA,-121.9949539,37.06602684
6089,Shasta County,California,CA,-122.0548272,40.7799972
6091,Sierra County,California,CA,-120.5112098,39.58248975
6093,Siskiyou County,California,CA,-122.5630896,41.60363418
6095,Solano County,California,CA,-121.9219016,38.27890842
6097,Sonoma County,California,CA,-122.8763292,38.53307783
6099,Stanislaus County,California,CA,-120.9973429,37.55780347
6101,Sutter County,California,CA,-121.6901719,39.03449176
6103,Tehama County,California,CA,-122.2457912,40.136481
6105,Trinity County,California,CA,-123.1281275,40.67365441
6107,Tulare County,California,CA,-118.7919929,36.2181266
6109,Tuolumne County,California,CA,-119.9555891,38.02884135
6111,Ventura County,California,CA,-119.0715239,34.4901459
6113,Yolo County,California,CA,-121.9048414,38.69168043
6115,Yuba County,California,CA,-121.3526605,39.26511003
8001,Adams County,Colorado,CO,-104.3365344,39.88028614
8003,Alamosa County,Colorado,CO,-105.7997549,37.55690135
8005,Arapahoe County,Colorado,CO,-104.339408,39.65267576
8007,Archuleta County,Colorado,CO,-107.0327286,37.18456623
8009,Baca County,Colorado,CO,-102.5639865,37.312686
8011,Bent County,Colorado,CO,-103.0792154,37.94298305
8013,Boulder County,Colorado,CO,-105.354227,40.09364667
8015,Chaffee County,Colorado,CO,-106.2033264,38.74802139
8017,Cheyenne County,Colorado,CO,-102.6115899,38.82638965
8019,Clear Creek County,Colorado,CO,-105.6467822,39.68706248
8021,Conejos County,Colorado,CO,-106.192383,37.18870441
8023,Costilla County,Colorado,CO,-105.4358878,37.27630646
8025,Crowley County,Colorado,CO,-103.7831903,38.32291386
8027,Custer County,Colorado,CO,-105.3701473,38.10391569
8029,Delta County,Colorado,CO,-107.8766654,38.84646747
8031,Denver County,Colorado,CO,-104.8705058,39.76100539
8033,Dolores County,Colorado,CO,-108.5002451,37.75553541
8035,Douglas County,Colorado,CO,-104.9250215,39.32489342
8037,Eagle County,Colorado,CO,-106.6999413,39.62008124
8039,Elbert County,Colorado,CO,-104.1335614,39.28755239
8041,El Paso County,Colorado,CO,-104.5174584,38.82498969
8043,Fremont County,Colorado,CO,-105.4398007,38.46735868
8045,Garfield County,Colorado,CO,-107.9079181,39.59662685
8047,Gilpin County,Colorado,CO,-105.5256161,39.86089762
8049,Grand County,Colorado,CO,-106.1216606,40.09826703
8051,Gunnison County,Colorado,CO,-107.0410982,38.66187528
8053,Hinsdale County,Colorado,CO,-107.3025769,37.82836587
8055,Huerfano County,Colorado,CO,-104.9609139,37.68542184
8057,Jackson County,Colorado,CO,-106.352509,40.66740757
8059,Jefferson County,Colorado,CO,-105.2485531,39.59053015
8061,Kiowa County,Colorado,CO,-102.7448022,38.42212342
8063,Kit Carson County,Colorado,CO,-102.6070306,39.31065495
8065,Lake County,Colorado,CO,-106.352012,39.19376761
8067,La Plata County,Colorado,CO,-107.8382974,37.28274935
8069,Larimer County,Colorado,CO,-105.4687623,40.67448521
8071,Las Animas County,Colorado,CO,-104.0497746,37.3032026
8073,Lincoln County,Colorado,CO,-103.5149652,38.99023918
8075,Logan County,Colorado,CO,-103.1089239,40.73000082
8077,Mesa County,Colorado,CO,-108.4651654,39.01825676
8079,Mineral County,Colorado,CO,-106.9295796,37.66123804
8081,Moffat County,Colorado,CO,-108.2034554,40.62238429
8083,Montezuma County,Colorado,CO,-108.6085941,37.34436472
8085,Montrose County,Colorado,CO,-108.2772365,38.39521767
8087,Morgan County,Colorado,CO,-103.8052271,40.27235597
8089,Otero County,Colorado,CO,-103.7199232,37.89510404
8091,Ouray County,Colorado,CO,-107.7714717,38.15473079
8093,Park County,Colorado,CO,-105.7200314,39.11945862
8095,Phillips County,Colorado,CO,-102.3661026,40.59689024
8097,Pitkin County,Colorado,CO,-106.9170748,39.21251239
8099,Prowers County,Colorado,CO,-102.3977836,37.94586088
8101,Pueblo County,Colorado,CO,-104.5069877,38.16838452
8103,Rio Blanco County,Colorado,CO,-108.2123329,39.98053803
8105,Rio Grande County,Colorado,CO,-106.3910742,37.57267113
8107,Routt County,Colorado,CO,-106.9946646,40.49306371
8109,Saguache County,Colorado,CO,-106.2813821,38.07254193
8111,San Juan County,Colorado,CO,-107.676552,37.75865387
8113,San Miguel County,Colorado,CO,-108.4147717,37.99977501
8115,Sedgwick County,Colorado,CO,-102.3589707,40.87777204
8117,Summit County,Colorado,CO,-106.1220381,39.62638227
8119,Teller County,Colorado,CO,-105.1583132,38.87939897
8121,Washington County,Colorado,CO,-103.1987696,39.97702595
8123,Weld County,Colorado,CO,-104.3898997,40.56234574
8125,Yuma County,Colorado,CO,-102.4246163,40.00668563
9001,Fairfield County,Connecticut,CT,-73.39231314,41.28133269
9003,Hartford County,Connecticut,CT,-72.7322188,41.80491927
9005,Litchfield County,Connecticut,CT,-73.25150549,41.79594241
9007,Middlesex County,Connecticut,CT,-72.53260082,41.46561004
9009,New Haven County,Connecticut,CT,-72.92743105,41.41196642
9011,New London County,Connecticut,CT,-72.09802642,41.48927969
9013,Tolland County,Connecticut,CT,-72.33707029,41.85916105
9015,Windham County,Connecticut,CT,-71.98253222,41.83421666
10001,Kent County,Delaware,DE,-75.57387647,39.08765398
10003,New Castle County,Delaware,DE,-75.65519125,39.58335752
10005,Sussex County,Delaware,DE,-75.40668896,38.66573496
11001,District of Columbia,District Of Columbia,DC,-77.0340992,38.91078737
12001,Alachua County,Florida,FL,-82.357751,29.66917793
12003,Baker County,Florida,FL,-82.28134256,30.32406664
12005,Bay County,Florida,FL,-85.62432688,30.29532713
12007,Bradford County,Florida,FL,-82.17025208,29.94253418
12009,Brevard County,Florida,FL,-80.75797736,28.17757196
12011,Broward County,Florida,FL,-80.49868694,26.14255998
12013,Calhoun County,Florida,FL,-85.21358719,30.4146682
12015,Charlotte County,Florida,FL,-81.89022705,26.9042579
12017,Citrus County,Florida,FL,-82.45738098,28.85025043
12019,Clay County,Florida,FL,-81.8454228,29.97157462
12021,Collier County,Florida,FL,-81.35667537,26.11400201
12023,Columbia County,Florida,FL,-82.62115508,30.21276594
12086,Miami-Dade County,Florida,FL,-80.58750196,25.60789485
12027,DeSoto County,Florida,FL,-81.84804122,27.18256275
12029,Dixie County,Florida,FL,-83.15632586,29.60918676
12031,Duval County,Florida,FL,-81.6658339,30.31514695
12033,Escambia County,Florida,FL,-87.39657433,30.7209762
12035,Flagler County,Florida,FL,-81.31543056,29.45995484
12037,Franklin County,Florida,FL,-84.80046505,29.91230768
12039,Gadsden County,Florida,FL,-84.62046856,30.58010526
12041,Gilchrist County,Florida,FL,-82.80311778,29.72378408
12043,Glades County,Florida,FL,-81.21348091,26.9472777
12045,Gulf County,Florida,FL,-85.24715852,29.95849768
12047,Hamilton County,Florida,FL,-82.9353807,30.48728224
12049,Hardee County,Florida,FL,-81.81120596,27.49021668
12051,Hendry County,Florida,FL,-81.17260251,26.5383539
12053,Hernando County,Florida,FL,-82.43249983,28.55569756
12055,Highlands County,Florida,FL,-81.336228,27.34477902
12057,Hillsborough County,Florida,FL,-82.30823576,27.92836425
12059,Holmes County,Florida,FL,-85.82645708,30.8856803
12061,Indian River County,Florida,FL,-80.61554726,27.68305593
12063,Jackson County,Florida,FL,-85.22699975,30.79919469
12065,Jefferson County,Florida,FL,-83.88813554,30.43942925
12067,Lafayette County,Florida,FL,-83.18194356,29.98493348
12069,Lake County,Florida,FL,-81.69965559,28.75018418
12071,Lee County,Florida,FL,-81.80314198,26.58010818
12073,Leon County,Florida,FL,-84.27342715,30.46085222
12075,Levy County,Florida,FL,-82.7325523,29.32414747
12077,Liberty County,Florida,FL,-84.89480631,30.24904583
12079,Madison County,Florida,FL,-83.45989063,30.44046068
12081,Manatee County,Florida,FL,-82.30352611,27.47235365
12083,Marion County,Florida,FL,-82.05455176,29.2032406
12085,Martin County,Florida,FL,-80.38623141,27.07777033
12087,Monroe County,Florida,FL,-81.07024951,25.53393405
12089,Nassau County,Florida,FL,-81.82363634,30.60042431
12091,Okaloosa County,Florida,FL,-86.6027942,30.73988971
12093,Okeechobee County,Florida,FL,-80.89421811,27.42833786
12095,Orange County,Florida,FL,-81.30712545,28.50158052
12097,Osceola County,Florida,FL,-81.15003932,28.05709152
12099,Palm Beach County,Florida,FL,-80.5130172,26.68903661
12101,Pasco County,Florida,FL,-82.39747099,28.30971247
12103,Pinellas County,Florida,FL,-82.73108941,27.94859889
12105,Polk County,Florida,FL,-81.69746902,27.94356526
12107,Putnam County,Florida,FL,-81.74323328,29.59927624
12109,St. Johns County,Florida,FL,-81.42856734,29.89377829
12111,St. Lucie County,Florida,FL,-80.48022634,27.37042575
12113,Santa Rosa County,Florida,FL,-87.03013891,30.74563142
12115,Sarasota County,Florida,FL,-82.35044075,27.1778329
12117,Seminole County,Florida,FL,-81.22082815,28.70280099
12119,Sumter County,Florida,FL,-82.07723731,28.69131589
12121,Suwannee County,Florida,FL,-82.98542973,30.18977208
12123,Taylor County,Florida,FL,-83.60089606,30.04932972
12125,Union County,Florida,FL,-82.37031412,30.04162969
12127,Volusia County,Florida,FL,-81.18945025,29.05247796
12129,Wakulla County,Florida,FL,-84.40945473,30.17558002
12131,Walton County,Florida,FL,-86.17177883,30.67216876
12133,Washington County,Florida,FL,-85.68366894,30.62671676
13001,Appling County,Georgia,GA,-82.31025777,31.74411958
13003,Atkinson County,Georgia,GA,-82.90032432,31.27799683
13005,Bacon County,Georgia,GA,-82.47997428,31.54316247
13007,Baker County,Georgia,GA,-84.46534455,31.31018507
13009,Baldwin County,Georgia,GA,-83.25406891,33.06896354
13011,Banks County,Georgia,GA,-83.49414841,34.35258578
13013,Barrow County,Georgia,GA,-83.72180609,33.99139508
13015,Bartow County,Georgia,GA,-84.85525287,34.22976581
13017,Ben Hill County,Georgia,GA,-83.2547462,31.76062657
13019,Berrien County,Georgia,GA,-83.24322327,31.2669614
13021,Bibb County,Georgia,GA,-83.71742693,32.81375908
13023,Bleckley County,Georgia,GA,-83.35841506,32.43552522
13025,Brantley County,Georgia,GA,-81.99989521,31.19216796
13027,Brooks County,Georgia,GA,-83.60014413,30.83790577
13029,Bryan County,Georgia,GA,-81.44874909,32.0198707
13031,Bulloch County,Georgia,GA,-81.74823365,32.40252008
13033,Burke County,Georgia,GA,-82.00541411,33.06229074
13035,Butts County,Georgia,GA,-83.96189287,33.28383161
13037,Calhoun County,Georgia,GA,-84.64198964,31.51612463
13039,Camden County,Georgia,GA,-81.69346239,30.94021106
13043,Candler County,Georgia,GA,-82.08760936,32.4052116
13045,Carroll County,Georgia,GA,-85.08566727,33.57598073
13047,Catoosa County,Georgia,GA,-85.14471433,34.88942304
13049,Charlton County,Georgia,GA,-82.16119406,30.7921547
13051,Chatham County,Georgia,GA,-81.13595926,32.00476746
13053,Chattahoochee County,Georgia,GA,-84.78355382,32.34266266
13055,Chattooga County,Georgia,GA,-85.34986264,34.46255073
13057,Cherokee County,Georgia,GA,-84.48371602,34.2400035
13059,Clarke County,Georgia,GA,-83.36902144,33.94917379
13061,Clay County,Georgia,GA,-84.99073017,31.6152322
13063,Clayton County,Georgia,GA,-84.36930371,33.53593967
13065,Clinch County,Georgia,GA,-82.73413622,30.90478539
13067,Cobb County,Georgia,GA,-84.59204242,33.93685037
13069,Coffee County,Georgia,GA,-82.88746929,31.53717882
13071,Colquitt County,Georgia,GA,-83.79028796,31.17186687
13073,Columbia County,Georgia,GA,-82.27405924,33.54575416
13075,Cook County,Georgia,GA,-83.44671123,31.14888026
13077,Coweta County,Georgia,GA,-84.77744263,33.3436804
13079,Crawford County,Georgia,GA,-83.99398099,32.7239371
13081,Crisp County,Georgia,GA,-83.80834758,31.91661952
13083,Dade County,Georgia,GA,-85.5035161,34.84071621
13085,Dawson County,Georgia,GA,-84.17780947,34.43284775
13087,Decatur County,Georgia,GA,-84.58441386,30.87421907
13089,DeKalb County,Georgia,GA,-84.23434944,33.76596772
13091,Dodge County,Georgia,GA,-83.19740886,32.16915269
13093,Dooly County,Georgia,GA,-83.82943327,32.14807109
13095,Dougherty County,Georgia,GA,-84.23578957,31.51839739
13097,Douglas County,Georgia,GA,-84.77109554,33.68774153
13099,Early County,Georgia,GA,-84.91893736,31.31432899
13101,Echols County,Georgia,GA,-82.90209515,30.70185522
13103,Effingham County,Georgia,GA,-81.34024961,32.37180931
13105,Elbert County,Georgia,GA,-82.83863532,34.1122056
13107,Emanuel County,Georgia,GA,-82.32017701,32.60247501
13109,Evans County,Georgia,GA,-81.89152732,32.16230306
13111,Fannin County,Georgia,GA,-84.33604378,34.85625252
13113,Fayette County,Georgia,GA,-84.5114642,33.40219233
13115,Floyd County,Georgia,GA,-85.22545302,34.24745188
13117,Forsyth County,Georgia,GA,-84.13572732,34.22642035
13119,Franklin County,Georgia,GA,-83.22942359,34.37667294
13121,Fulton County,Georgia,GA,-84.46752958,33.79483773
13123,Gilmer County,Georgia,GA,-84.46489794,34.67575066
13125,Glascock County,Georgia,GA,-82.62674663,33.2248281
13127,Glynn County,Georgia,GA,-81.59216844,31.24237507
13129,Gordon County,Georgia,GA,-84.89193294,34.49171872
13131,Grady County,Georgia,GA,-84.24304575,30.87015367
13133,Greene County,Georgia,GA,-83.17051362,33.57358107
13135,Gwinnett County,Georgia,GA,-84.03339909,33.94915967
13137,Habersham County,Georgia,GA,-83.5345868,34.62557486
13139,Hall County,Georgia,GA,-83.82934302,34.30856016
13141,Hancock County,Georgia,GA,-83.00901919,33.26633654
13143,Haralson County,Georgia,GA,-85.21987492,33.79079352
13145,Harris County,Georgia,GA,-84.91566364,32.73094236
13147,Hart County,Georgia,GA,-82.96578408,34.35076687
13149,Heard County,Georgia,GA,-85.13668699,33.28875573
13151,Henry County,Georgia,GA,-84.15986114,33.44908397
13153,Houston County,Georgia,GA,-83.69290204,32.4593691
13155,Irwin County,Georgia,GA,-83.30894978,31.60053169
13157,Jackson County,Georgia,GA,-83.56380129,34.12887923
13159,Jasper County,Georgia,GA,-83.6946353,33.31410355
13161,Jeff Davis County,Georgia,GA,-82.65313605,31.79541198
13163,Jefferson County,Georgia,GA,-82.42711369,33.06035512
13165,Jenkins County,Georgia,GA,-81.97263749,32.79661701
13167,Johnson County,Georgia,GA,-82.68333704,32.7094859
13169,Jones County,Georgia,GA,-83.56715056,33.03037169
13171,Lamar County,Georgia,GA,-84.16227182,33.06789843
13173,Lanier County,Georgia,GA,-83.06178127,31.01854846
13175,Laurens County,Georgia,GA,-82.9435242,32.46312462
13177,Lee County,Georgia,GA,-84.17383083,31.77255912
13179,Liberty County,Georgia,GA,-81.49586999,31.82973438
13181,Lincoln County,Georgia,GA,-82.45655314,33.78869032
13183,Long County,Georgia,GA,-81.76016945,31.76442053
13185,Lowndes County,Georgia,GA,-83.27877529,30.82811119
13187,Lumpkin County,Georgia,GA,-84.01130878,34.56516365
13189,McDuffie County,Georgia,GA,-82.49300376,33.48335735
13191,McIntosh County,Georgia,GA,-81.42506498,31.51612622
13193,Macon County,Georgia,GA,-84.05753846,32.34581832
13195,Madison County,Georgia,GA,-83.20885942,34.12922852
13197,Marion County,Georgia,GA,-84.53390697,32.34563072
13199,Meriwether County,Georgia,GA,-84.69977586,33.03533271
13201,Miller County,Georgia,GA,-84.74243276,31.15388077
13205,Mitchell County,Georgia,GA,-84.21320281,31.21218877
13207,Monroe County,Georgia,GA,-83.9338456,33.01550333
13209,Montgomery County,Georgia,GA,-82.54079025,32.17190838
13211,Morgan County,Georgia,GA,-83.49739284,33.5872216
13213,Murray County,Georgia,GA,-84.76318961,34.78018099
13215,Muscogee County,Georgia,GA,-84.87715196,32.50369757
13217,Newton County,Georgia,GA,-83.85645651,33.55565689
13219,Oconee County,Georgia,GA,-83.44436368,33.83016176
13221,Oglethorpe County,Georgia,GA,-83.09172869,33.87728705
13223,Paulding County,Georgia,GA,-84.87767568,33.91093384
13225,Peach County,Georgia,GA,-83.83366018,32.57429119
13227,Pickens County,Georgia,GA,-84.47880513,34.45689309
13229,Pierce County,Georgia,GA,-82.23795196,31.35385345
