"countyname","fipscounty","neighborname","fipsneighbor"
"Cherokee County, AL","01019","Cleburne County, AL","01029"
"Cherokee County, AL","01019","DeKalb County, AL","01049"
"Cherokee County, AL","01019","Etowah County, AL","01055"
"Cherokee County, AL","01019","Chattooga County, GA","13055"
"Cherokee County, AL","01019","Floyd County, GA","13115"
"Cherokee County, AL","01019","Polk County, GA","13233"
"Chilton County, AL","01021","Autauga County, AL","01001"
"Chilton County, AL","01021","Bibb County, AL","01007"
"Chilton County, AL","01021","Chilton County, AL","01021"
"Chilton County, AL","01021","Coosa County, AL","01037"
"Chilton County, AL","01021","Dallas County, AL","01047"
"Chilton County, AL","01021","Elmore County, AL","01051"
"Chilton County, AL","01021","Perry County, AL","01105"
"Chilton County, AL","01021","Shelby County, AL","01117"
"Choctaw County, AL","01023","Choctaw County, AL","01023"
"Choctaw County, AL","01023","Clarke County, AL","01025"
"Choctaw County, AL","01023","Marengo County, AL","01091"
"Choctaw County, AL","01023","Sumter County, AL","01119"
"Choctaw County, AL","01023","Washington County, AL","01129"
"Choctaw County, AL","01023","Clarke County, MS","28023"
"Choctaw County, AL","01023","Lauderdale County, MS","28075"
"Choctaw County, AL","01023","Wayne County, MS","28153"
"Clarke County, AL","01025","Baldwin County, AL","01003"
"Clarke County, AL","01025","Choctaw County, AL","01023"
"Clarke County, AL","01025","Clarke County, AL","01025"
"Clarke County, AL","01025","Marengo County, AL","01091"
"Clarke County, AL","01025","Monroe County, AL","01099"
"Clarke County, AL","01025","Washington County, AL","01129"
"Clarke County, AL","01025","Wilcox County, AL","01131"
"Clay County, AL","01027","Clay County, AL","01027"
"Clay County, AL","01027","Cleburne County, AL","01029"
"Clay County, AL","01027","Coosa County, AL","01037"
"Clay County, AL","01027","Randolph County, AL","01111"
"Clay County, AL","01027","Talladega County, AL","01121"
"Clay County, AL","01027","Tallapoosa County, AL","01123"
"Cleburne County, AL","01029","Calhoun County, AL","01015"
"Cleburne County, AL","01029","Cherokee County, AL","01019"
"Cleburne County, AL","01029","Clay County, AL","01027"
"Cleburne County, AL","01029","Cleburne County, AL","01029"
"Cleburne County, AL","01029","Randolph County, AL","01111"
"Cleburne County, AL","01029","Talladega County, AL","01121"
"Cleburne County, AL","01029","Carroll County, GA","13045"
"Cleburne County, AL","01029","Haralson County, GA","13143"
"Cleburne County, AL","01029","Polk County, GA","13233"
"Coffee County, AL","01031","Coffee County, AL","01031"
"Coffee County, AL","01031","Covington County, AL","01039"
"Coffee County, AL","01031","Crenshaw County, AL","01041"
"Coffee County, AL","01031","Dale County, AL","01045"
"Coffee County, AL","01031","Geneva County, AL","01061"
"Coffee County, AL","01031","Pike County, AL","01109"
"Colbert County, AL","01033","Colbert County, AL","01033"
"Colbert County, AL","01033","Franklin County, AL","01059"
"Colbert County, AL","01033","Lauderdale County, AL","01077"
"Colbert County, AL","01033","Lawrence County, AL","01079"
"Colbert County, AL","01033","Tishomingo County, MS","28141"
"Conecuh County, AL","01035","Butler County, AL","01013"
"Conecuh County, AL","01035","Conecuh County, AL","01035"
"Conecuh County, AL","01035","Covington County, AL","01039"
"Conecuh County, AL","01035","Escambia County, AL","01053"
"Conecuh County, AL","01035","Monroe County, AL","01099"
"Coosa County, AL","01037","Chilton County, AL","01021"
"Coosa County, AL","01037","Clay County, AL","01027"
"Coosa County, AL","01037","Coosa County, AL","01037"
"Coosa County, AL","01037","Elmore County, AL","01051"
"Coosa County, AL","01037","Shelby County, AL","01117"
"Coosa County, AL","01037","Talladega County, AL","01121"
"Coosa County, AL","01037","Tallapoosa County, AL","01123"
"Covington County, AL","01039","Butler County, AL","01013"
"Covington County, AL","01039","Coffee County, AL","01031"
"Covington County, AL","01039","Conecuh County, AL","01035"
"Covington County, AL","01039","Covington County, AL","01039"
"Covington County, AL","01039","Crenshaw County, AL","01041"
"Covington County, AL","01039","Escambia County, AL","01053"
"Covington County, AL","01039","Geneva County, AL","01061"
"Covington County, AL","01039","Okaloosa County, FL","12091"
"Covington County, AL","01039","Walton County, FL","12131"
"Crenshaw County, AL","01041","Butler County, AL","01013"
"Crenshaw County, AL","01041","Coffee County, AL","01031"
"Crenshaw County, AL","01041","Covington County, AL","01039"
"Crenshaw County, AL","01041","Crenshaw County, AL","01041"
"Crenshaw County, AL","01041","Lowndes County, AL","01085"
"Crenshaw County, AL","01041","Montgomery County, AL","01101"
"Crenshaw County, AL","01041","Pike County, AL","01109"
"Cullman County, AL","01043","Blount County, AL","01009"
"Cullman County, AL","01043","Cullman County, AL","01043"
"Cullman County, AL","01043","Lawrence County, AL","01079"
"Cullman County, AL","01043","Marshall County, AL","01095"
"Cullman County, AL","01043","Morgan County, AL","01103"
"Cullman County, AL","01043","Walker County, AL","01127"
"Cullman County, AL","01043","Winston County, AL","01133"
"Dale County, AL","01045","Barbour County, AL","01005"
"Dale County, AL","01045","Coffee County, AL","01031"
"Dale County, AL","01045","Dale County, AL","01045"
"Dale County, AL","01045","Geneva County, AL","01061"
"Dale County, AL","01045","Henry County, AL","01067"
"Dale County, AL","01045","Houston County, AL","01069"
"Dale County, AL","01045","Pike County, AL","01109"
"Dallas County, AL","01047","Autauga County, AL","01001"
"Dallas County, AL","01047","Chilton County, AL","01021"
"Dallas County, AL","01047","Dallas County, AL","01047"
"Dallas County, AL","01047","Lowndes County, AL","01085"
"Dallas County, AL","01047","Marengo County, AL","01091"
"Dallas County, AL","01047","Perry County, AL","01105"
"Dallas County, AL","01047","Wilcox County, AL","01131"
"DeKalb County, AL","01049","Cherokee County, AL","01019"
"DeKalb County, AL","01049","DeKalb County, AL","01049"
"DeKalb County, AL","01049","Etowah County, AL","01055"
"DeKalb County, AL","01049","Jackson County, AL","01071"
"DeKalb County, AL","01049","Marshall County, AL","01095"
"DeKalb County, AL","01049","Chattooga County, GA","13055"
"DeKalb County, AL","01049","Dade County, GA","13083"
"DeKalb County, AL","01049","Walker County, GA","13295"
"Elmore County, AL","01051","Autauga County, AL","01001"
"Elmore County, AL","01051","Chilton County, AL","01021"
"Elmore County, AL","01051","Coosa County, AL","01037"
"Elmore County, AL","01051","Elmore County, AL","01051"
"Elmore County, AL","01051","Macon County, AL","01087"
"Elmore County, AL","01051","Montgomery County, AL","01101"
"Elmore County, AL","01051","Tallapoosa County, AL","01123"
"Escambia County, AL","01053","Baldwin County, AL","01003"
"Escambia County, AL","01053","Conecuh County, AL","01035"
"Escambia County, AL","01053","Covington County, AL","01039"
"Escambia County, AL","01053","Escambia County, AL","01053"
"Escambia County, AL","01053","Monroe County, AL","01099"
"Escambia County, AL","01053","Escambia County, FL","12033"
"Escambia County, AL","01053","Okaloosa County, FL","12091"
"Escambia County, AL","01053","Santa Rosa County, FL","12113"
"Etowah County, AL","01055","Blount County, AL","01009"
"Etowah County, AL","01055","Calhoun County, AL","01015"
"Etowah County, AL","01055","Cherokee County, AL","01019"
"Etowah County, AL","01055","DeKalb County, AL","01049"
"Etowah County, AL","01055","Etowah County, AL","01055"
"Etowah County, AL","01055","Marshall County, AL","01095"
"Etowah County, AL","01055","St. Clair County, AL","01115"
"Fayette County, AL","01057","Fayette County, AL","01057"
"Fayette County, AL","01057","Lamar County, AL","01075"
"Fayette County, AL","01057","Marion County, AL","01093"
"Fayette County, AL","01057","Pickens County, AL","01107"
"Fayette County, AL","01057","Tuscaloosa County, AL","01125"
"Fayette County, AL","01057","Walker County, AL","01127"
"Franklin County, AL","01059","Colbert County, AL","01033"
"Franklin County, AL","01059","Franklin County, AL","01059"
"Franklin County, AL","01059","Lawrence County, AL","01079"
"Franklin County, AL","01059","Marion County, AL","01093"
"Franklin County, AL","01059","Winston County, AL","01133"
"Franklin County, AL","01059","Itawamba County, MS","28057"
"Franklin County, AL","01059","Tishomingo County, MS","28141"
"Geneva County, AL","01061","Coffee County, AL","01031"
"Geneva County, AL","01061","Covington County, AL","01039"
"Geneva County, AL","01061","Dale County, AL","01045"
"Geneva County, AL","01061","Geneva County, AL","01061"
"Geneva County, AL","01061","Houston County, AL","01069"
"Geneva County, AL","01061","Holmes County, FL","12059"
"Geneva County, AL","01061","Jackson County, FL","12063"
"Geneva County, AL","01061","Walton County, FL","12131"
"Greene County, AL","01063","Greene County, AL","01063"
"Greene County, AL","01063","Hale County, AL","01065"
"Greene County, AL","01063","Marengo County, AL","01091"
"Greene County, AL","01063","Pickens County, AL","01107"
"Greene County, AL","01063","Sumter County, AL","01119"
"Greene County, AL","01063","Tuscaloosa County, AL","01125"
"Hale County, AL","01065","Bibb County, AL","01007"
"Hale County, AL","01065","Greene County, AL","01063"
"Hale County, AL","01065","Hale County, AL","01065"
"Hale County, AL","01065","Marengo County, AL","01091"
"Hale County, AL","01065","Perry County, AL","01105"
"Hale County, AL","01065","Tuscaloosa County, AL","01125"
"Henry County, AL","01067","Barbour County, AL","01005"
"Henry County, AL","01067","Dale County, AL","01045"
"Henry County, AL","01067","Henry County, AL","01067"
"Henry County, AL","01067","Houston County, AL","01069"
"Henry County, AL","01067","Clay County, GA","13061"
"Henry County, AL","01067","Early County, GA","13099"
"Houston County, AL","01069","Dale County, AL","01045"
"Houston County, AL","01069","Geneva County, AL","01061"
"Houston County, AL","01069","Henry County, AL","01067"
"Houston County, AL","01069","Houston County, AL","01069"
"Houston County, AL","01069","Jackson County, FL","12063"
"Houston County, AL","01069","Early County, GA","13099"
"Houston County, AL","01069","Seminole County, GA","13253"
"Jackson County, AL","01071","DeKalb County, AL","01049"
"Jackson County, AL","01071","Jackson County, AL","01071"
"Jackson County, AL","01071","Madison County, AL","01089"
"Jackson County, AL","01071","Marshall County, AL","01095"
"Jackson County, AL","01071","Dade County, GA","13083"
"Jackson County, AL","01071","Franklin County, TN","47051"
"Jackson County, AL","01071","Marion County, TN","47115"
"Jefferson County, AL","01073","Bibb County, AL","01007"
"Jefferson County, AL","01073","Blount County, AL","01009"
"Jefferson County, AL","01073","Jefferson County, AL","01073"
"Jefferson County, AL","01073","St. Clair County, AL","01115"
"Jefferson County, AL","01073","Shelby County, AL","01117"
"Jefferson County, AL","01073","Tuscaloosa County, AL","01125"
"Jefferson County, AL","01073","Walker County, AL","01127"
"Lamar County, AL","01075","Fayette County, AL","01057"
"Lamar County, AL","01075","Lamar County, AL","01075"
"Lamar County, AL","01075","Marion County, AL","01093"
"Lamar County, AL","01075","Pickens County, AL","01107"
"Lamar County, AL","01075","Lowndes County, MS","28087"
"Lamar County, AL","01075","Monroe County, MS","28095"
"Lauderdale County, AL","01077","Colbert County, AL","01033"
"Lauderdale County, AL","01077","Lauderdale County, AL","01077"
"Lauderdale County, AL","01077","Lawrence County, AL","01079"
"Lauderdale County, AL","01077","Limestone County, AL","01083"
"Lauderdale County, AL","01077","Tishomingo County, MS","28141"
"Lauderdale County, AL","01077","Giles County, TN","47055"
"Lauderdale County, AL","01077","Hardin County, TN","47071"
"Lauderdale County, AL","01077","Lawrence County, TN","47099"
"Lauderdale County, AL","01077","Wayne County, TN","47181"
"Lawrence County, AL","01079","Colbert County, AL","01033"
"Lawrence County, AL","01079","Cullman County, AL","01043"
"Lawrence County, AL","01079","Franklin County, AL","01059"
"Lawrence County, AL","01079","Lauderdale County, AL","01077"
"Lawrence County, AL","01079","Lawrence County, AL","01079"
"Lawrence County, AL","01079","Limestone County, AL","01083"
"Lawrence County, AL","01079","Morgan County, AL","01103"
"Lawrence County, AL","01079","Winston County, AL","01133"
"Lee County, AL","01081","Chambers County, AL","01017"
"Lee County, AL","01081","Lee County, AL","01081"
"Lee County, AL","01081","Macon County, AL","01087"
"Lee County, AL","01081","Russell County, AL","01113"
"Lee County, AL","01081","Tallapoosa County, AL","01123"
"Lee County, AL","01081","Harris County, GA","13145"
"Lee County, AL","01081","Muscogee County, GA","13215"
"Limestone County, AL","01083","Lauderdale County, AL","01077"
"Limestone County, AL","01083","Lawrence County, AL","01079"
"Limestone County, AL","01083","Limestone County, AL","01083"
"Limestone County, AL","01083","Madison County, AL","01089"
"Limestone County, AL","01083","Morgan County, AL","01103"
"Limestone County, AL","01083","Giles County, TN","47055"
"Limestone County, AL","01083","Lincoln County, TN","47103"
"Lowndes County, AL","01085","Autauga County, AL","01001"
"Lowndes County, AL","01085","Butler County, AL","01013"
"Lowndes County, AL","01085","Crenshaw County, AL","01041"
"Lowndes County, AL","01085","Dallas County, AL","01047"
"Lowndes County, AL","01085","Lowndes County, AL","01085"
"Lowndes County, AL","01085","Montgomery County, AL","01101"
"Lowndes County, AL","01085","Wilcox County, AL","01131"
"Macon County, AL","01087","Bullock County, AL","01011"
"Macon County, AL","01087","Elmore County, AL","01051"
"Macon County, AL","01087","Lee County, AL","01081"
"Macon County, AL","01087","Macon County, AL","01087"
"Macon County, AL","01087","Montgomery County, AL","01101"
"Macon County, AL","01087","Russell County, AL","01113"
"Macon County, AL","01087","Tallapoosa County, AL","01123"
"Madison County, AL","01089","Jackson County, AL","01071"
"Madison County, AL","01089","Limestone County, AL","01083"
"Madison County, AL","01089","Madison County, AL","01089"
"Madison County, AL","01089","Marshall County, AL","01095"
"Madison County, AL","01089","Morgan County, AL","01103"
"Madison County, AL","01089","Franklin County, TN","47051"
"Madison County, AL","01089","Lincoln County, TN","47103"
"Marengo County, AL","01091","Choctaw County, AL","01023"
"Marengo County, AL","01091","Clarke County, AL","01025"
"Marengo County, AL","01091","Dallas County, AL","01047"
"Marengo County, AL","01091","Greene County, AL","01063"
"Marengo County, AL","01091","Hale County, AL","01065"
"Marengo County, AL","01091","Marengo County, AL","01091"
"Marengo County, AL","01091","Perry County, AL","01105"
"Marengo County, AL","01091","Sumter County, AL","01119"
"Marengo County, AL","01091","Wilcox County, AL","01131"
"Marion County, AL","01093","Fayette County, AL","01057"
"Marion County, AL","01093","Franklin County, AL","01059"
"Marion County, AL","01093","Lamar County, AL","01075"
"Marion County, AL","01093","Marion County, AL","01093"
"Marion County, AL","01093","Walker County, AL","01127"
"Marion County, AL","01093","Winston County, AL","01133"
"Marion County, AL","01093","Itawamba County, MS","28057"
"Marion County, AL","01093","Monroe County, MS","28095"
"Marshall County, AL","01095","Blount County, AL","01009"
"Marshall County, AL","01095","Cullman County, AL","01043"
"Marshall County, AL","01095","DeKalb County, AL","01049"
"Marshall County, AL","01095","Etowah County, AL","01055"
"Marshall County, AL","01095","Jackson County, AL","01071"
"Marshall County, AL","01095","Madison County, AL","01089"
"Marshall County, AL","01095","Marshall County, AL","01095"
"Marshall County, AL","01095","Morgan County, AL","01103"
"Mobile County, AL","01097","Baldwin County, AL","01003"
"Mobile County, AL","01097","Mobile County, AL","01097"
"Mobile County, AL","01097","Washington County, AL","01129"
"Mobile County, AL","01097","George County, MS","28039"
"Mobile County, AL","01097","Greene County, MS","28041"
"Mobile County, AL","01097","Jackson County, MS","28059"
"Monroe County, AL","01099","Baldwin County, AL","01003"
"Monroe County, AL","01099","Butler County, AL","01013"
"Monroe County, AL","01099","Clarke County, AL","01025"
"Monroe County, AL","01099","Conecuh County, AL","01035"
"Monroe County, AL","01099","Escambia County, AL","01053"
"Monroe County, AL","01099","Monroe County, AL","01099"
"Monroe County, AL","01099","Wilcox County, AL","01131"
"Montgomery County, AL","01101","Autauga County, AL","01001"
"Montgomery County, AL","01101","Bullock County, AL","01011"
"Montgomery County, AL","01101","Crenshaw County, AL","01041"
"Montgomery County, AL","01101","Elmore County, AL","01051"
"Montgomery County, AL","01101","Lowndes County, AL","01085"
"Montgomery County, AL","01101","Macon County, AL","01087"
"Montgomery County, AL","01101","Montgomery County, AL","01101"
"Montgomery County, AL","01101","Pike County, AL","01109"
"Morgan County, AL","01103","Cullman County, AL","01043"
"Morgan County, AL","01103","Lawrence County, AL","01079"
"Morgan County, AL","01103","Limestone County, AL","01083"
"Morgan County, AL","01103","Madison County, AL","01089"
"Morgan County, AL","01103","Marshall County, AL","01095"
"Morgan County, AL","01103","Morgan County, AL","01103"
"Perry County, AL","01105","Bibb County, AL","01007"
"Perry County, AL","01105","Chilton County, AL","01021"
"Perry County, AL","01105","Dallas County, AL","01047"
"Perry County, AL","01105","Hale County, AL","01065"
"Perry County, AL","01105","Marengo County, AL","01091"
"Perry County, AL","01105","Perry County, AL","01105"
"Pickens County, AL","01107","Fayette County, AL","01057"
"Pickens County, AL","01107","Greene County, AL","01063"
"Pickens County, AL","01107","Lamar County, AL","01075"
"Pickens County, AL","01107","Pickens County, AL","01107"
"Pickens County, AL","01107","Sumter County, AL","01119"
"Pickens County, AL","01107","Tuscaloosa County, AL","01125"
"Pickens County, AL","01107","Lowndes County, MS","28087"
"Pickens County, AL","01107","Noxubee County, MS","28103"
"Pike County, AL","01109","Barbour County, AL","01005"
"Pike County, AL","01109","Bullock County, AL","01011"
"Pike County, AL","01109","Coffee County, AL","01031"
"Pike County, AL","01109","Crenshaw County, AL","01041"
"Pike County, AL","01109","Dale County, AL","01045"
"Pike County, AL","01109","Montgomery County, AL","01101"
"Pike County, AL","01109","Pike County, AL","01109"
"Randolph County, AL","01111","Chambers County, AL","01017"
"Randolph County, AL","01111","Clay County, AL","01027"
"Randolph County, AL","01111","Cleburne County, AL","01029"
"Randolph County, AL","01111","Randolph County, AL","01111"
"Randolph County, AL","01111","Tallapoosa County, AL","01123"
"Randolph County, AL","01111","Carroll County, GA","13045"
"Randolph County, AL","01111","Heard County, GA","13149"
"Randolph County, AL","01111","Troup County, GA","13285"
"Russell County, AL","01113","Barbour County, AL","01005"
"Russell County, AL","01113","Bullock County, AL","01011"
"Russell County, AL","01113","Lee County, AL","01081"
"Russell County, AL","01113","Macon County, AL","01087"
"Russell County, AL","01113","Russell County, AL","01113"
"Russell County, AL","01113","Chattahoochee County, GA","13053"
"Russell County, AL","01113","Muscogee County, GA","13215"
"Russell County, AL","01113","Stewart County, GA","13259"
"St. Clair County, AL","01115","Blount County, AL","01009"
"St. Clair County, AL","01115","Calhoun County, AL","01015"
"St. Clair County, AL","01115","Etowah County, AL","01055"
"St. Clair County, AL","01115","Jefferson County, AL","01073"
"St. Clair County, AL","01115","St. Clair County, AL","01115"
"St. Clair County, AL","01115","Shelby County, AL","01117"
"St. Clair County, AL","01115","Talladega County, AL","01121"
"Shelby County, AL","01117","Bibb County, AL","01007"
"Shelby County, AL","01117","Chilton County, AL","01021"
"Shelby County, AL","01117","Coosa County, AL","01037"
"Shelby County, AL","01117","Jefferson County, AL","01073"
"Shelby County, AL","01117","St. Clair County, AL","01115"
"Shelby County, AL","01117","Shelby County, AL","01117"
"Shelby County, AL","01117","Talladega County, AL","01121"
"Sumter County, AL","01119","Choctaw County, AL","01023"
"Sumter County, AL","01119","Greene County, AL","01063"
"Sumter County, AL","01119","Marengo County, AL","01091"
"Sumter County, AL","01119","Pickens County, AL","01107"
"Sumter County, AL","01119","Sumter County, AL","01119"
"Sumter County, AL","01119","Kemper County, MS","28069"
"Sumter County, AL","01119","Lauderdale County, MS","28075"
"Sumter County, AL","01119","Noxubee County, MS","28103"
"Talladega County, AL","01121","Calhoun County, AL","01015"
"Talladega County, AL","01121","Clay County, AL","01027"
"Talladega County, AL","01121","Cleburne County, AL","01029"
"Talladega County, AL","01121","Coosa County, AL","01037"
"Talladega County, AL","01121","St. Clair County, AL","01115"
"Talladega County, AL","01121","Shelby County, AL","01117"
"Talladega County, AL","01121","Talladega County, AL","01121"
"Tallapoosa County, AL","01123","Chambers County, AL","01017"
"Tallapoosa County, AL","01123","Clay County, AL","01027"
"Tallapoosa County, AL","01123","Coosa County, AL","01037"
"Tallapoosa County, AL","01123","Elmore County, AL","01051"
"Tallapoosa County, AL","01123","Lee County, AL","01081"
"Tallapoosa County, AL","01123","Macon County, AL","01087"
"Tallapoosa County, AL","01123","Randolph County, AL","01111"
"Tallapoosa County, AL","01123","Tallapoosa County, AL","01123"
"Tuscaloosa County, AL","01125","Bibb County, AL","01007"
"Tuscaloosa County, AL","01125","Fayette County, AL","01057"
"Tuscaloosa County, AL","01125","Greene County, AL","01063"
"Tuscaloosa County, AL","01125","Hale County, AL","01065"
"Tuscaloosa County, AL","01125","Jefferson County, AL","01073"
"Tuscaloosa County, AL","01125","Pickens County, AL","01107"
"Tuscaloosa County, AL","01125","Tuscaloosa County, AL","01125"
"Tuscaloosa County, AL","01125","Walker County, AL","01127"
"Walker County, AL","01127","Blount County, AL","01009"
"Walker County, AL","01127","Cullman County, AL","01043"
"Walker County, AL","01127","Fayette County, AL","01057"
"Walker County, AL","01127","Jefferson County, AL","01073"
"Walker County, AL","01127","Marion County, AL","01093"
"Walker County, AL","01127","Tuscaloosa County, AL","01125"
"Walker County, AL","01127","Walker County, AL","01127"
"Walker County, AL","01127","Winston County, AL","01133"
"Washington County, AL","01129","Baldwin County, AL","01003"
"Washington County, AL","01129","Choctaw County, AL","01023"
"Washington County, AL","01129","Clarke County, AL","01025"
"Washington County, AL","01129","Mobile County, AL","01097"
"Washington County, AL","01129","Washington County, AL","01129"
"Washington County, AL","01129","Greene County, MS","28041"
"Washington County, AL","01129","Wayne County, MS","28153"
"Wilcox County, AL","01131","Butler County, AL","01013"
"Wilcox County, AL","01131","Clarke County, AL","01025"
"Wilcox County, AL","01131","Dallas County, AL","01047"
"Wilcox County, AL","01131","Lowndes County, AL","01085"
"Wilcox County, AL","01131","Marengo County, AL","01091"
"Wilcox County, AL","01131","Monroe County, AL","01099"
"Wilcox County, AL","01131","Wilcox County, AL","01131"
"Winston County, AL","01133","Cullman County, AL","01043"
"Winston County, AL","01133","Franklin County, AL","01059"
"Winston County, AL","01133","Lawrence County, AL","01079"
"Winston County, AL","01133","Marion County, AL","01093"
"Winston County, AL","01133","Walker County, AL","01127"
"Winston County, AL","01133","Winston County, AL","01133"
"Aleutians East Borough, AK","02013","Aleutians East Borough, AK","02013"
"Aleutians East Borough, AK","02013","Aleutians West Census Area, AK","02016"
"Aleutians East Borough, AK","02013","Lake and Peninsula Borough, AK","02164"
"Aleutians West Census Area, AK","02016","Aleutians East Borough, AK","02013"
"Aleutians West Census Area, AK","02016","Aleutians West Census Area, AK","02016"
"Anchorage Municipality, AK","02020","Anchorage Municipality, AK","02020"
"Anchorage Municipality, AK","02020","Kenai Peninsula Borough, AK","02122"
"Anchorage Municipality, AK","02020","Matanuska-Susitna Borough, AK","02170"
"Anchorage Municipality, AK","02020","Valdez-Cordova Census Area, AK","02261"
"Bethel Census Area, AK","02050","Bethel Census Area, AK","02050"
"Bethel Census Area, AK","02050","Dillingham Census Area, AK","02070"
"Bethel Census Area, AK","02050","Kenai Peninsula Borough, AK","02122"
"Bethel Census Area, AK","02050","Lake and Peninsula Borough, AK","02164"
"Bethel Census Area, AK","02050","Matanuska-Susitna Borough, AK","02170"
"Bethel Census Area, AK","02050","Wade Hampton Census Area, AK","02270"
"Bethel Census Area, AK","02050","Yukon-Koyukuk Census Area, AK","02290"
"Bristol Bay Borough, AK","02060","Bristol Bay Borough, AK","02060"
"Bristol Bay Borough, AK","02060","Dillingham Census Area, AK","02070"
"Bristol Bay Borough, AK","02060","Lake and Peninsula Borough, AK","02164"
"Denali Borough, AK","02068","Denali Borough, AK","02068"
"Denali Borough, AK","02068","Fairbanks North Star Borough, AK","02090"
"Denali Borough, AK","02068","Matanuska-Susitna Borough, AK","02170"
"Denali Borough, AK","02068","Southeast Fairbanks Census Area, AK","02240"
"Denali Borough, AK","02068","Yukon-Koyukuk Census Area, AK","02290"
"Dillingham Census Area, AK","02070","Bethel Census Area, AK","02050"
"Dillingham Census Area, AK","02070","Bristol Bay Borough, AK","02060"
"Dillingham Census Area, AK","02070","Dillingham Census Area, AK","02070"
"Dillingham Census Area, AK","02070","Lake and Peninsula Borough, AK","02164"
"Fairbanks North Star Borough, AK","02090","Denali Borough, AK","02068"
"Fairbanks North Star Borough, AK","02090","Fairbanks North Star Borough, AK","02090"
"Fairbanks North Star Borough, AK","02090","Southeast Fairbanks Census Area, AK","02240"
"Fairbanks North Star Borough, AK","02090","Yukon-Koyukuk Census Area, AK","02290"
"Haines Borough, AK","02100","Haines Borough, AK","02100"
"Haines Borough, AK","02100","Hoonah-Angoon Census Area, AK","02105"
"Haines Borough, AK","02100","Juneau City and Borough, AK","02110"
"Haines Borough, AK","02100","Skagway Municipality, AK","02230"
"Hoonah-Angoon Census Area, AK","02105","Haines Borough, AK","02100"
"Hoonah-Angoon Census Area, AK","02105","Hoonah-Angoon Census Area, AK","02105"
"Hoonah-Angoon Census Area, AK","02105","Juneau City and Borough, AK","02110"
"Hoonah-Angoon Census Area, AK","02105","Petersburg Census Area, AK","02195"
