STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
05,057,Hempstead,Arkansas,22609,+33.699647,-093.623587
05,059,Hot Spring,Arkansas,32923,+34.353464,-092.894595
05,061,Howard,Arkansas,13789,+33.983198,-093.910184
05,063,Independence,Arkansas,36647,+35.749801,-091.607539
05,065,Izard,Arkansas,13696,+36.120217,-091.908429
05,067,Jackson,Arkansas,17997,+35.621102,-091.246233
05,069,Jefferson,Arkansas,77435,+34.233473,-092.041179
05,071,Johnson,Arkansas,25540,+35.475272,-093.475517
05,073,Lafayette,Arkansas,7645,+33.287629,-093.557538
05,075,Lawrence,Arkansas,17415,+36.070224,-091.065733
05,077,Lee,Arkansas,10424,+34.785214,-090.774516
05,079,Lincoln,Arkansas,14134,+33.975379,-091.746234
05,081,Little River,Arkansas,13171,+33.700518,-094.195995
05,083,Logan,Arkansas,22353,+35.227532,-093.768119
05,085,Lonoke,Arkansas,68356,+34.905178,-091.970577
05,087,Madison,Arkansas,15717,+36.061309,-093.755297
05,089,Marion,Arkansas,16653,+36.284570,-092.663368
05,091,Miller,Arkansas,43462,+33.400831,-093.987504
05,093,Mississippi,Arkansas,46480,+35.842880,-089.999037
05,095,Monroe,Arkansas,8149,+34.777729,-091.218021
05,097,Montgomery,Arkansas,9487,+34.517013,-093.622663
05,099,Nevada,Arkansas,8997,+33.722168,-093.358085
05,101,Newton,Arkansas,8330,+35.984940,-093.170500
05,103,Ouachita,Arkansas,26120,+33.574461,-092.838871
05,105,Perry,Arkansas,10445,+34.999054,-092.779271
05,107,Phillips,Arkansas,21757,+34.529768,-090.707796
05,109,Pike,Arkansas,11291,+34.187298,-093.624765
05,111,Poinsett,Arkansas,24583,+35.601910,-090.557998
05,113,Polk,Arkansas,20662,+34.520450,-094.258519
05,115,Pope,Arkansas,61754,+35.309776,-093.097238
05,117,Prairie,Arkansas,8715,+34.859177,-091.536241
05,119,Pulaski,Arkansas,382748,+34.773719,-092.311659
05,121,Randolph,Arkansas,17969,+36.304758,-090.988420
05,123,St. Francis,Arkansas,28258,+35.015313,-090.770297
05,125,Saline,Arkansas,107118,+34.593233,-092.546163
05,127,Scott,Arkansas,11233,+34.907145,-094.095905
05,129,Searcy,Arkansas,8195,+35.922829,-092.659155
05,131,Sebastian,Arkansas,125744,+35.318195,-094.354435
05,133,Sevier,Arkansas,17058,+34.014236,-094.304091
05,135,Sharp,Arkansas,17264,+36.178493,-091.520168
05,137,Stone,Arkansas,12394,+35.856705,-092.137000
05,139,Union,Arkansas,41639,+33.206870,-092.645080
05,141,Van Buren,Arkansas,17295,+35.567839,-092.421475
05,143,Washington,Arkansas,203065,+36.094275,-094.172222
05,145,White,Arkansas,77076,+35.243736,-091.767388
05,147,Woodruff,Arkansas,7260,+35.233191,-091.252079
05,149,Yell,Arkansas,22185,+35.120982,-093.289460
06,001,Alameda,California,1510271,+37.705201,-122.100393
06,003,Alpine,California,1175,+38.728298,-119.847603
06,005,Amador,California,38091,+38.394208,-120.775729
06,007,Butte,California,220000,+39.669037,-121.707635
06,009,Calaveras,California,45578,+38.163627,-120.633718
06,011,Colusa,California,21419,+39.156148,-122.085557
06,013,Contra Costa,California,1049025,+37.935588,-122.030131
06,015,Del Norte,California,28610,+41.791232,-124.163088
06,017,El Dorado,California,181058,+38.746543,-120.744330
06,019,Fresno,California,930450,+36.738918,-119.767884
06,021,Glenn,California,28122,+39.663418,-122.177491
06,023,Humboldt,California,134623,+40.752982,-124.087189
06,025,Imperial,California,174528,+32.841101,-115.534487
06,027,Inyo,California,18546,+37.160247,-118.267513
06,029,Kern,California,839631,+35.372968,-118.936004
06,031,Kings,California,152982,+36.242749,-119.729084
06,033,Lake,California,64665,+38.973362,-122.734609
06,035,Lassen,California,34895,+40.392397,-120.579176
06,037,Los Angeles,California,9818605,+34.065193,-118.244222
06,039,Madera,California,150865,+37.043099,-120.006750
06,041,Marin,California,252409,+37.986705,-122.547075
06,043,Mariposa,California,18251,+37.542748,-119.957219
06,045,Mendocino,California,87841,+39.285329,-123.397227
06,047,Merced,California,255793,+37.281016,-120.623989
06,049,Modoc,California,9686,+41.522584,-120.650911
06,051,Mono,California,14202,+37.763322,-118.970594
06,053,Monterey,California,415057,+36.611722,-121.646162
06,055,Napa,California,136484,+38.329075,-122.321646
06,057,Nevada,California,98764,+39.219524,-120.916546
06,059,Orange,California,3010232,+33.733953,-117.862880
06,061,Placer,California,348432,+38.844511,-121.182466
06,063,Plumas,California,20007,+39.983857,-120.825847
06,065,Riverside,California,2189641,+33.800439,-117.066205
06,067,Sacramento,California,1418788,+38.568950,-121.380861
06,069,San Benito,California,55269,+36.843404,-121.403859
06,071,San Bernardino,California,2035210,+34.190248,-117.357474
06,073,San Diego,California,3095313,+32.883260,-117.112994
06,075,San Francisco,California,805235,+37.759598,-122.438323
06,077,San Joaquin,California,685306,+37.931804,-121.298108
06,079,San Luis Obispo,California,269637,+35.342391,-120.667689
06,081,San Mateo,California,718451,+37.563950,-122.340991
06,083,Santa Barbara,California,423895,+34.639262,-120.092602
06,085,Santa Clara,California,1781642,+37.315105,-121.910421
06,087,Santa Cruz,California,262382,+36.985171,-121.936728
06,089,Shasta,California,177223,+40.580269,-122.299961
06,091,Sierra,California,3240,+39.612588,-120.414236
06,093,Siskiyou,California,44900,+41.576203,-122.489833
06,095,Solano,California,413344,+38.235582,-122.069324
06,097,Sonoma,California,483878,+38.414080,-122.720522
06,099,Stanislaus,California,514453,+37.619147,-120.955577
06,101,Sutter,California,94737,+39.135490,-121.644269
06,103,Tehama,California,63463,+40.115187,-122.218704
06,105,Trinity,California,13786,+40.681268,-123.072357
06,107,Tulare,California,442179,+36.251227,-119.231547
06,109,Tuolumne,California,55365,+37.971531,-120.328530
06,111,Ventura,California,823318,+34.241989,-119.025018
06,113,Yolo,California,200849,+38.598913,-121.721112
06,115,Yuba,California,72155,+39.138830,-121.506626
08,001,Adams,Colorado,441603,+39.874297,-104.927473
08,003,Alamosa,Colorado,15445,+37.483069,-105.877245
08,005,Arapahoe,Colorado,572003,+39.647528,-104.845968
08,007,Archuleta,Colorado,12084,+37.240087,-107.085027
08,009,Baca,Colorado,3788,+37.368221,-102.527089
08,011,Bent,Colorado,6499,+38.072386,-103.163100
08,013,Boulder,Colorado,294567,+40.063299,-105.183981
08,014,Broomfield,Colorado,55889,+39.936888,-105.055491
08,015,Chaffee,Colorado,17809,+38.676497,-106.082645
08,017,Cheyenne,Colorado,1836,+38.816795,-102.457770
08,019,Clear Creek,Colorado,9088,+39.712957,-105.529650
08,021,Conejos,Colorado,8256,+37.195652,-105.989049
08,023,Costilla,Colorado,3524,+37.281779,-105.448477
08,025,Crowley,Colorado,5823,+38.188547,-103.857439
08,027,Custer,Colorado,4255,+38.134216,-105.381557
08,029,Delta,Colorado,30952,+38.798565,-107.910553
08,031,Denver,Colorado,600158,+39.721430,-104.955068
08,033,Dolores,Colorado,2064,+37.740817,-108.757410
08,035,Douglas,Colorado,285465,+39.485270,-104.879712
08,037,Eagle,Colorado,52197,+39.599453,-106.717771
08,039,Elbert,Colorado,23086,+39.382868,-104.519130
08,041,El Paso,Colorado,622263,+38.873669,-104.758477
08,043,Fremont,Colorado,46824,+38.426058,-105.206532
08,045,Garfield,Colorado,56389,+39.507561,-107.539356
08,047,Gilpin,Colorado,5441,+39.857020,-105.480210
08,049,Grand,Colorado,14843,+40.050388,-105.975400
08,051,Gunnison,Colorado,15324,+38.657886,-106.944723
08,053,Hinsdale,Colorado,843,+37.996875,-107.296530
08,055,Huerfano,Colorado,6711,+37.616312,-104.884201
08,057,Jackson,Colorado,1394,+40.692851,-106.291292
08,059,Jefferson,Colorado,534543,+39.720524,-105.128819
08,061,Kiowa,Colorado,1398,+38.470657,-102.680579
08,063,Kit Carson,Colorado,8270,+39.309763,-102.435733
08,065,Lake,Colorado,7310,+39.245870,-106.308061
08,067,La Plata,Colorado,51334,+37.265198,-107.806184
08,069,Larimer,Colorado,299630,+40.504546,-105.099218
08,071,Las Animas,Colorado,15507,+37.196601,-104.503149
08,073,Lincoln,Colorado,5467,+39.173232,-103.613697
08,075,Logan,Colorado,22709,+40.639399,-103.187715
08,077,Mesa,Colorado,146723,+39.092851,-108.543768
08,079,Mineral,Colorado,712,+37.798623,-106.935586
08,081,Moffat,Colorado,13795,+40.515239,-107.625859
08,083,Montezuma,Colorado,25535,+37.370817,-108.557116
08,085,Montrose,Colorado,41276,+38.479142,-107.934568
08,087,Morgan,Colorado,28159,+40.256023,-103.781517
08,089,Otero,Colorado,18831,+38.024096,-103.657432
08,091,Ouray,Colorado,4436,+38.139834,-107.746232
08,093,Park,Colorado,16206,+39.311718,-105.623144
08,095,Phillips,Colorado,4442,+40.599517,-102.387354
08,097,Pitkin,Colorado,17148,+39.232543,-106.907765
08,099,Prowers,Colorado,12551,+38.083772,-102.547035
08,101,Pueblo,Colorado,159063,+38.263685,-104.645147
08,103,Rio Blanco,Colorado,6666,+40.051033,-108.280174
08,105,Rio Grande,Colorado,11982,+37.616658,-106.238805
08,107,Routt,Colorado,23509,+40.453133,-106.899535
08,109,Saguache,Colorado,6108,+37.915302,-106.019489
08,111,San Juan,Colorado,699,+37.804646,-107.673989
08,113,San Miguel,Colorado,7359,+37.974202,-107.960034
08,115,Sedgwick,Colorado,2379,+40.960246,-102.327670
08,117,Summit,Colorado,27994,+39.573131,-106.054579
08,119,Teller,Colorado,23350,+38.943550,-105.140532
08,121,Washington,Colorado,4814,+40.092526,-103.156814
08,123,Weld,Colorado,252825,+40.328082,-104.788507
08,125,Yuma,Colorado,10043,+40.069473,-102.486935
09,001,Fairfield,Connecticut,916829,+41.207889,-073.364521
09,003,Hartford,Connecticut,894014,+41.761943,-072.717282
09,005,Litchfield,Connecticut,189927,+41.727851,-073.187494
09,007,Middlesex,Connecticut,165676,+41.478564,-072.571408
09,009,New Haven,Connecticut,862477,+41.396052,-072.941497
09,011,New London,Connecticut,274055,+41.443373,-072.097683
09,013,Tolland,Connecticut,152691,+41.842762,-072.372090
09,015,Windham,Connecticut,118428,+41.804225,-071.995072
10,001,Kent,Delaware,162310,+39.123220,-075.558604
10,003,New Castle,Delaware,538479,+39.685020,-075.634376
10,005,Sussex,Delaware,197145,+38.662387,-075.346649
11,001,District of Columbia,District of Columbia,601723,+38.910270,-077.014468
12,001,Alachua,Florida,247336,+29.665903,-082.386845
12,003,Baker,Florida,27115,+30.288432,-082.185477
12,005,Bay,Florida,168852,+30.206925,-085.660217
12,007,Bradford,Florida,28520,+29.953429,-082.128192
12,009,Brevard,Florida,543376,+28.232195,-080.690979
12,011,Broward,Florida,1748066,+26.134058,-080.227135
12,013,Calhoun,Florida,14625,+30.463143,-085.122189
12,015,Charlotte,Florida,159978,+26.954793,-082.119946
12,017,Citrus,Florida,141236,+28.863598,-082.453512
12,019,Clay,Florida,190865,+30.084386,-081.799410
12,021,Collier,Florida,321520,+26.199831,-081.699625
12,023,Columbia,Florida,67531,+30.126051,-082.660566
12,027,DeSoto,Florida,34862,+27.189369,-081.864094
12,029,Dixie,Florida,16422,+29.634179,-083.056329
12,031,Duval,Florida,864263,+30.300302,-081.622853
12,033,Escambia,Florida,297619,+30.485314,-087.274788
12,035,Flagler,Florida,95696,+29.523494,-081.224735
12,037,Franklin,Florida,11549,+29.786787,-084.822838
12,039,Gadsden,Florida,46389,+30.598280,-084.581397
12,041,Gilchrist,Florida,16939,+29.704639,-082.808262
12,043,Glades,Florida,12884,+26.896029,-081.185404
12,045,Gulf,Florida,15863,+29.988579,-085.259478
12,047,Hamilton,Florida,14799,+30.501534,-082.997218
12,049,Hardee,Florida,27731,+27.548312,-081.815432
12,051,Hendry,Florida,39140,+26.705392,-081.202571
12,053,Hernando,Florida,172778,+28.504850,-082.496961
12,055,Highlands,Florida,98786,+27.460415,-081.442555
12,057,Hillsborough,Florida,1229226,+27.976529,-082.401275
12,059,Holmes,Florida,19927,+30.847684,-085.758558
12,061,Indian River,Florida,138028,+27.671827,-080.440581
12,063,Jackson,Florida,49746,+30.800240,-085.216119
12,065,Jefferson,Florida,14761,+30.504031,-083.886291
12,067,Lafayette,Florida,8870,+30.065418,-083.179508
12,069,Lake,Florida,297052,+28.735689,-081.752026
12,071,Lee,Florida,618754,+26.574992,-081.858144
12,073,Leon,Florida,275487,+30.466103,-084.270371
12,075,Levy,Florida,40801,+29.379995,-082.666319
12,077,Liberty,Florida,8365,+30.399795,-084.905169
12,079,Madison,Florida,19224,+30.472630,-083.430563
12,081,Manatee,Florida,322833,+27.477054,-082.532775
12,083,Marion,Florida,331298,+29.140116,-082.123367
12,085,Martin,Florida,146318,+27.144300,-080.244395
12,086,Miami-Dade,Florida,2496435,+25.774565,-080.298888
12,087,Monroe,Florida,73090,+24.739678,-081.263945
12,089,Nassau,Florida,73314,+30.607962,-081.647153
12,091,Okaloosa,Florida,180822,+30.542829,-086.567105
12,093,Okeechobee,Florida,39996,+27.272057,-080.822153
12,095,Orange,Florida,1145956,+28.532855,-081.384377
12,097,Osceola,Florida,268685,+28.266765,-081.383484
12,099,Palm Beach,Florida,1320134,+26.617075,-080.146119
12,101,Pasco,Florida,464697,+28.261606,-082.516080
12,103,Pinellas,Florida,916542,+27.899794,-082.727651
12,105,Polk,Florida,602095,+28.031140,-081.799975
12,107,Putnam,Florida,74364,+29.609299,-081.720431
12,109,St. Johns,Florida,190039,+29.977088,-081.421504
12,111,St. Lucie,Florida,277789,+27.338067,-080.353183
12,113,Santa Rosa,Florida,151372,+30.549593,-087.036954
12,115,Sarasota,Florida,379448,+27.208205,-082.423893
12,117,Seminole,Florida,422718,+28.697834,-081.310445
12,119,Sumter,Florida,93420,+28.825768,-082.035469
12,121,Suwannee,Florida,41551,+30.214688,-082.987546
12,123,Taylor,Florida,22570,+30.064881,-083.597967
12,125,Union,Florida,15535,+30.010768,-082.356919
12,127,Volusia,Florida,494593,+29.073725,-081.123944
12,129,Wakulla,Florida,30776,+30.185525,-084.331546
12,131,Walton,Florida,55043,+30.583729,-086.190665
12,133,Washington,Florida,24896,+30.650718,-085.625419
13,001,Appling,Georgia,18236,+31.773880,-082.338473
13,003,Atkinson,Georgia,8375,+31.317301,-082.886363
13,005,Bacon,Georgia,11096,+31.547221,-082.466071
13,007,Baker,Georgia,3451,+31.307754,-084.437989
13,009,Baldwin,Georgia,45720,+33.084849,-083.245659
13,011,Banks,Georgia,18395,+34.351255,-083.506647
13,013,Barrow,Georgia,69367,+33.993054,-083.727500
13,015,Bartow,Georgia,100157,+34.208435,-084.829122
13,017,Ben Hill,Georgia,17634,+31.727638,-083.248636
13,019,Berrien,Georgia,19286,+31.238588,-083.252459
13,021,Bibb,Georgia,155547,+32.832049,-083.687184
13,023,Bleckley,Georgia,13063,+32.401368,-083.332140
13,025,Brantley,Georgia,18411,+31.216648,-081.969970
13,027,Brooks,Georgia,16243,+30.842082,-083.540090
13,029,Bryan,Georgia,30233,+31.979537,-081.375954
13,031,Bulloch,Georgia,70217,+32.417702,-081.762420
13,033,Burke,Georgia,23316,+33.101987,-081.998447
13,035,Butts,Georgia,23655,+33.296102,-083.970002
13,037,Calhoun,Georgia,6694,+31.527412,-084.668445
13,039,Camden,Georgia,50513,+30.814165,-081.635079
13,043,Candler,Georgia,10998,+32.399861,-082.062305
13,045,Carroll,Georgia,110527,+33.622193,-085.044673
13,047,Catoosa,Georgia,63942,+34.927795,-085.172820
13,049,Charlton,Georgia,12171,+30.780002,-082.023033
13,051,Chatham,Georgia,265128,+32.036008,-081.126449
13,053,Chattahoochee,Georgia,11267,+32.344231,-084.899254
13,055,Chattooga,Georgia,26015,+34.495509,-085.344167
13,057,Cherokee,Georgia,214346,+34.169606,-084.496595
13,059,Clarke,Georgia,116714,+33.950406,-083.380863
13,061,Clay,Georgia,3183,+31.633549,-085.013368
13,063,Clayton,Georgia,259424,+33.553383,-084.362238
13,065,Clinch,Georgia,6798,+31.017888,-082.740932
13,067,Cobb,Georgia,688078,+33.943254,-084.557878
13,069,Coffee,Georgia,42356,+31.516000,-082.840667
13,071,Colquitt,Georgia,45498,+31.180955,-083.768671
13,073,Columbia,Georgia,124053,+33.516220,-082.165654
13,075,Cook,Georgia,17212,+31.149847,-083.424499
13,077,Coweta,Georgia,127317,+33.379117,-084.736399
13,079,Crawford,Georgia,12630,+32.707681,-083.934002
13,081,Crisp,Georgia,23439,+31.947962,-083.777791
13,083,Dade,Georgia,16633,+34.882709,-085.497004
13,085,Dawson,Georgia,22330,+34.401380,-084.104119
13,087,Decatur,Georgia,27842,+30.888345,-084.570360
13,089,DeKalb,Georgia,691893,+33.789813,-084.248029
13,091,Dodge,Georgia,21796,+32.212815,-083.175591
13,093,Dooly,Georgia,14918,+32.167580,-083.784195
13,095,Dougherty,Georgia,94565,+31.573426,-084.167625
13,097,Douglas,Georgia,132403,+33.724923,-084.734644
13,099,Early,Georgia,11008,+31.331726,-084.916722
13,101,Echols,Georgia,4034,+30.708629,-083.057989
13,103,Effingham,Georgia,52250,+32.291745,-081.299511
13,105,Elbert,Georgia,20166,+34.126521,-082.879523
13,107,Emanuel,Georgia,22598,+32.585860,-082.307952
13,109,Evans,Georgia,11000,+32.169649,-081.907367
13,111,Fannin,Georgia,23682,+34.901383,-084.313402
13,113,Fayette,Georgia,106567,+33.427941,-084.512414
13,115,Floyd,Georgia,96317,+34.255796,-085.183164
13,117,Forsyth,Georgia,175511,+34.194920,-084.144322
13,119,Franklin,Georgia,22084,+34.377335,-083.186079
13,121,Fulton,Georgia,920581,+33.836086,-084.393645
13,123,Gilmer,Georgia,28292,+34.677249,-084.483646
13,125,Glascock,Georgia,3082,+33.235927,-082.609847
13,127,Glynn,Georgia,79626,+31.202698,-081.486488
13,129,Gordon,Georgia,55186,+34.498326,-084.908795
13,131,Grady,Georgia,25011,+30.882764,-084.214288
13,133,Greene,Georgia,15994,+33.549876,-083.166093
13,135,Gwinnett,Georgia,805321,+33.951956,-084.057963
13,137,Habersham,Georgia,43041,+34.565160,-083.541626
13,139,Hall,Georgia,179684,+34.275205,-083.844712
13,141,Hancock,Georgia,9429,+33.255825,-083.002047
13,143,Haralson,Georgia,28780,+33.761920,-085.185470
13,145,Harris,Georgia,32024,+32.699933,-084.895034
13,147,Hart,Georgia,25213,+34.355413,-082.964953
13,149,Heard,Georgia,11834,+33.309334,-085.113400
13,151,Henry,Georgia,203922,+33.475842,-084.175416
13,153,Houston,Georgia,139900,+32.571603,-083.663357
13,155,Irwin,Georgia,9538,+31.604647,-083.280834
13,157,Jackson,Georgia,60485,+34.132059,-083.584805
13,159,Jasper,Georgia,13900,+33.356251,-083.724341
13,161,Jeff Davis,Georgia,15068,+31.848776,-082.600696
13,163,Jefferson,Georgia,16930,+33.063551,-082.407657
13,165,Jenkins,Georgia,8340,+32.794618,-081.950133
13,167,Johnson,Georgia,9980,+32.701199,-082.679535
13,169,Jones,Georgia,28669,+32.962134,-083.545140
13,171,Lamar,Georgia,18317,+33.080020,-084.154400
13,173,Lanier,Georgia,10078,+31.035393,-083.090886
13,175,Laurens,Georgia,48434,+32.516487,-082.926131
13,177,Lee,Georgia,28298,+31.681194,-084.173396
13,179,Liberty,Georgia,63453,+31.827766,-081.578482
13,181,Lincoln,Georgia,7996,+33.781126,-082.446380
13,183,Long,Georgia,14464,+31.778807,-081.733663
13,185,Lowndes,Georgia,109233,+30.857006,-083.280221
13,187,Lumpkin,Georgia,29966,+34.524951,-083.986879
